# Weather station Umaria, India, WMO_ID=42679,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42679&lang=en
#
"Local time in Umaria";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.05.2017 17:30";"41.2";"710.6";"746.9";"";"16";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"44.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.7";"";"";"";"";"";"";
"26.05.2017 08:30";"34.6";"713.7";"751.0";"";"33";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"27.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"15.9";"";"";"";"";"";"";
"25.05.2017 17:30";"40.2";"711.8";"748.3";"";"25";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"44.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.7";"";"";"";"";"";"";
"25.05.2017 11:30";"35.2";"713.8";"751.0";"";"33";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"16.8";"";"";"";"";"";"";
"25.05.2017 08:30";"35.2";"713.8";"751.0";"";"33";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.8";"";"";"";"";"";"";
"24.05.2017 17:30";"40.6";"712.6";"749.1";"";"24";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"43.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.1";"";"";"";"";"";"";
"24.05.2017 08:30";"34.2";"716.1";"753.6";"";"34";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"24.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.2";"";"";"";"";"";"";
"23.05.2017 17:30";"39.2";"714.0";"750.8";"";"23";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"40.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"20.0";"14.8";"";"";"";"";"";"";
"23.05.2017 08:30";"33.6";"717.7";"755.3";"";"39";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"26.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.8";"";"";"";"";"";"";
"22.05.2017 17:30";"40.4";"712.9";"749.5";"";"19";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"42.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.9";"";"";"";"";"";"";
"22.05.2017 08:30";"34.6";"716.0";"753.4";"";"32";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.5";"";"";"";"";"";"";
"21.05.2017 17:30";"41.6";"712.5";"748.9";"";"21";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"43.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.4";"";"";"";"";"";"";
"21.05.2017 08:30";"33.8";"714.7";"752.2";"";"55";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"25.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"23.5";"";"";"";"";"";"";
"20.05.2017 17:30";"41.0";"711.8";"748.2";"";"20";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"42.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.9";"";"";"";"";"";"";
"20.05.2017 08:30";"35.0";"716.6";"754.0";"";"33";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.5";"";"";"";"";"";"";
"19.05.2017 17:30";"37.0";"714.5";"751.5";"";"24";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"42.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.2";"";"";"";"";"";"";
"19.05.2017 08:30";"34.0";"716.5";"754.0";"";"41";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.8";"";"";"";"";"";"";
"18.05.2017 17:30";"40.0";"713.3";"749.9";"";"22";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"14.7";"";"";"";"";"";"";
"18.05.2017 08:30";"33.4";"716.0";"753.6";"";"50";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.6";"";"";"";"";"";"";
"17.05.2017 17:30";"41.4";"711.7";"748.1";"";"19";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"43.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.6";"";"";"";"";"";"";
"17.05.2017 08:30";"34.6";"714.5";"751.8";"";"30";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"29.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.6";"";"";"";"";"";"";
"16.05.2017 17:30";"41.8";"711.1";"747.4";"";"20";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"44.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.3";"";"";"";"";"";"";
"16.05.2017 08:30";"35.8";"714.3";"751.5";"";"25";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"30.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.7";"";"";"";"";"";"";
"15.05.2017 17:30";"42.4";"711.7";"748.0";"";"18";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"44.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"13.8";"";"";"";"";"";"";
"15.05.2017 08:30";"36.0";"714.4";"751.6";"";"28";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"27.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.5";"";"";"";"";"";"";
"14.05.2017 17:30";"42.4";"712.5";"748.8";"";"17";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"44.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"12.8";"";"";"";"";"";"";
"14.05.2017 08:30";"34.4";"716.0";"753.4";"";"37";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"29.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.7";"";"";"";"";"";"";
"13.05.2017 17:30";"42.6";"720.0";"756.7";"";"17";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"44.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.6";"";"";"";"";"";"";
"13.05.2017 08:30";"31.8";"716.8";"754.6";"";"47";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"29.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.3";"";"";"";"";"";"";
"12.05.2017 17:30";"41.4";"714.8";"751.3";"";"20";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"44.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.1";"";"";"";"";"";"";
"12.05.2017 08:30";"33.0";"719.1";"756.9";"";"39";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.4";"";"";"";"";"";"";
"11.05.2017 17:30";"41.0";"714.8";"751.4";"";"19";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"42.9";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.9";"";"";"";"";"";"";
"11.05.2017 08:30";"35.0";"717.9";"755.4";"";"30";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"25.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.2";"";"";"";"";"";"";
"10.05.2017 17:30";"39.6";"715.0";"751.8";"";"20";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"41.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.0";"";"";"";"";"";"";
"10.05.2017 08:30";"33.6";"717.7";"755.3";"";"32";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"29.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"14.5";"";"";"";"";"";"";
"09.05.2017 08:30";"33.8";"717.7";"755.3";"";"38";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"29.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.7";"";"";"";"";"";"";
"08.05.2017 17:30";"40.2";"714.5";"751.2";"";"13";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"44.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"7.2";"";"";"";"";"";"";
"08.05.2017 08:30";"33.8";"718.6";"756.3";"";"28";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"28.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.9";"";"";"";"";"";"";
"07.05.2017 17:30";"42.0";"716.6";"753.2";"";"16";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"43.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.5";"";"";"";"";"";"";
"06.05.2017 17:30";"41.6";"717.1";"753.7";"";"17";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"43.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.9";"";"";"";"";"";"";
"06.05.2017 08:30";"32.0";"719.3";"757.2";"";"28";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"24.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.1";"";"";"";"";"";"";
"05.05.2017 17:30";"40.0";"715.7";"752.5";"";"24";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"42.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.1";"";"";"";"";"";"";
"05.05.2017 08:30";"32.2";"718.5";"756.4";"";"36";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.1";"";"";"";"";"";"";
"04.05.2017 17:30";"39.6";"716.4";"753.2";"";"16";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"41.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.7";"";"";"";"";"";"";
"04.05.2017 08:30";"33.6";"720.0";"757.8";"";"23";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"9.5";"";"";"";"";"";"";
"03.05.2017 17:30";"38.6";"716.3";"753.3";"";"11";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"42.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"3.4";"";"";"";"";"";"";
"03.05.2017 08:30";"29.4";"719.1";"757.3";"";"29";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"19.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.4";"";"";"";"";"";"";
"02.05.2017 17:30";"38.0";"717.3";"754.4";"";"10";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"39.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"0.9";"";"";"";"";"";"";
"02.05.2017 08:30";"31.2";"720.0";"758.1";"";"36";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"24.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.5";"";"";"";"";"";"";
"01.05.2017 17:30";"39.0";"715.7";"752.6";"";"14";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"41.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.6";"";"";"";"";"";"";
"01.05.2017 08:30";"33.0";"718.5";"756.3";"";"26";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"23.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.2";"";"";"";"";"";"";
"30.04.2017 17:30";"37.6";"715.6";"752.6";"";"10";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"40.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"1.6";"";"";"";"";"";"";
"30.04.2017 08:30";"31.4";"717.9";"755.8";"";"26";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"27.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.9";"";"";"";"";"";"";
"29.04.2017 17:30";"39.0";"715.1";"751.9";"";"11";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"41.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"3.6";"";"";"";"";"";"";
"29.04.2017 08:30";"31.4";"719.1";"757.1";"";"25";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"21.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.0";"";"";"";"";"";"";
"28.04.2017 17:30";"39.4";"715.5";"752.3";"";"9";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"42.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"0.3";"";"";"";"";"";"";
"28.04.2017 08:30";"28.6";"718.7";"757.0";"";"28";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.7";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"8.1";"";"";"";"";"";"";
"27.04.2017 17:30";"38.2";"716.2";"753.2";"";"10";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"40.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"1.5";"";"";"";"";"";"";
"27.04.2017 08:30";"31.4";"717.9";"755.8";"";"19";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"5.3";"";"";"";"";"";"";
"26.04.2017 17:30";"37.4";"716.0";"753.1";"";"13";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"40.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.8";"";"";"";"";"";"";
"26.04.2017 08:30";"30.8";"718.1";"756.1";"";"22";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"23.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.7";"";"";"";"";"";"";
"25.04.2017 17:30";"37.2";"715.0";"752.1";"";"16";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"39.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.4";"";"";"";"";"";"";
"25.04.2017 08:30";"31.6";"717.9";"755.8";"";"27";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"26.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.4";"";"";"";"";"";"";
"23.04.2017 08:30";"32.4";"716.9";"754.6";"";"24";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"9.6";"";"";"";"";"";"";
"22.04.2017 17:30";"40.0";"713.5";"750.1";"";"9";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"41.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"2.1";"";"";"";"";"";"";
"22.04.2017 08:30";"34.8";"716.4";"753.8";"";"13";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"28.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"2.7";"";"";"";"";"";"";
