# Weather station Betul, India, WMO_ID=42860,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42860&lang=en
#
"Local time in Betul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.08.2017 17:30";"24.8";"694.9";"748.3";"";"86";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.2";"";"";"";"";"";"";
"21.08.2017 08:30";"23.6";"696.2";"749.8";"";"95";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"20.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"22.7";"";"";"";"";"";"";
"20.08.2017 17:30";"27.0";"692.6";"746.6";"";"83";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"29.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"23.9";"";"";"";"";"";"";
"20.08.2017 08:30";"24.6";"696.1";"749.5";"";"94";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"21.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.5";"";"";"";"";"";"";
"19.08.2017 17:30";"26.0";"694.9";"747.4";"";"93";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"28.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"24.7";"";"";"";"";"";"";
"19.08.2017 08:30";"24.4";"696.9";"750.3";"";"92";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"23.0";"";"";"";"";"";"";
"18.08.2017 17:30";"26.2";"695.8";"748.8";"";"83";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"26.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"23.1";"";"";"";"";"";"";
"18.08.2017 08:30";"24.0";"698.2";"751.7";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"22.0";"";"";"";"";"";"";
"17.08.2017 17:30";"29.0";"696.4";"748.9";"";"68";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"17.08.2017 08:30";"24.2";"698.8";"752.3";"";"87";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"20.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"21.9";"";"";"";"";"";"";
"16.08.2017 17:30";"29.0";"697.8";"750.4";"";"66";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"29.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.1";"";"";"";"";"";"";
"16.08.2017 08:30";"24.0";"700.3";"754.0";"";"90";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.4";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"22.3";"";"";"";"";"";"";
"15.08.2017 17:30";"28.2";"";"751.8";"";"74";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.7";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"23.1";"";"";"";"";"";"";
"15.08.2017 08:30";"23.6";"701.4";"755.4";"";"93";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.4";"";"";"";"";"";"";
"14.08.2017 17:30";"28.6";"699.7";"752.6";"";"71";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"29.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.9";"";"";"";"";"";"";
"14.08.2017 08:30";"23.5";"702.1";"756.2";"";"88";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"20–30%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"21.3";"";"";"";"";"";"";
"13.08.2017 17:30";"25.0";"699.6";"753.1";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"27.5";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"23.0";"";"";"";"";"";"";
"13.08.2017 08:30";"23.8";"700.4";"754.3";"";"85";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"20.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"21.2";"";"";"";"";"";"";
"12.08.2017 17:30";"27.2";"698.4";"751.4";"";"74";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.2";"";"";"";"";"";"";
"12.08.2017 08:30";"23.0";"700.3";"754.1";"";"91";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"21.5";"";"";"";"";"";"";
"11.08.2017 17:30";"27.2";"698.2";"751.3";"";"76";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.6";"";"";"";"";"";"";
"11.08.2017 08:30";"24.0";"699.5";"753.1";"";"90";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.3";"";"";"";"";"";"";
"10.08.2017 17:30";"28.8";"697.4";"750.1";"";"69";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"29.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.5";"";"";"";"";"";"";
"10.08.2017 08:30";"24.4";"698.1";"752.5";"";"87";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"21.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.1";"";"";"";"";"";"";
"09.08.2017 17:30";"27.4";"697.6";"750.5";"";"84";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"24.5";"";"";"";"";"";"";
"09.08.2017 08:30";"24.0";"698.9";"752.5";"";"89";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.0";"";"";"";"";"";"";
"08.08.2017 17:30";"25.4";"697.5";"750.7";"";"87";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"26.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"2500 or more, or no clouds.";"";"";"4.0";"23.1";"";"";"";"";"";"";
"08.08.2017 08:30";"23.6";"699.0";"750.5";"";"96";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"25.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"23.0";"";"";"";"";"";"";
"07.08.2017 08:30";"24.2";"698.3";"751.9";"";"92";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"22.8";"";"";"";"";"";"";
"06.08.2017 17:30";"24.0";"696.4";"749.8";"";"90";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"22.3";"";"";"";"";"";"";
"06.08.2017 08:30";"23.6";"698.2";"751.9";"";"96";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"23.0";"";"";"";"";"";"";
"05.08.2017 17:30";"26.8";"696.3";"749.4";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"24.0";"";"";"";"";"";"";
"05.08.2017 08:30";"23.8";"697.5";"751.1";"";"89";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"20.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"21.8";"";"";"";"";"";"";
"04.08.2017 17:30";"26.6";"695.6";"748.6";"";"77";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.3";"";"";"";"";"";"";
"04.08.2017 08:30";"23.2";"697.7";"751.4";"";"91";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"21.7";"";"";"";"";"";"";
"03.08.2017 17:30";"25.6";"697.3";"750.5";"";"84";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.7";"";"";"";"";"";"";
"03.08.2017 08:30";"24.0";"698.4";"751.9";"";"85";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"20.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"21.4";"";"";"";"";"";"";
"02.08.2017 17:30";"28.0";"697.9";"750.7";"";"77";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.5";"";"";"";"";"";"";
"02.08.2017 08:30";"24.2";"700.2";"753.8";"";"87";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"20.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"21.9";"";"";"";"";"";"";
"01.08.2017 17:30";"28.4";"698.4";"751.3";"";"77";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"29.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.9";"";"";"";"";"";"";
"01.08.2017 08:30";"24.2";"700.2";"753.8";"";"90";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"21.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.5";"";"";"";"";"";"";
"31.07.2017 17:30";"28.8";"698.6";"751.2";"";"73";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"29.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.5";"";"";"";"";"";"";
"31.07.2017 08:30";"23.4";"700.0";"753.8";"";"92";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.0";"";"";"";"";"";"";
"30.07.2017 17:30";"26.8";"698.7";"751.9";"";"80";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.1";"";"";"";"";"";"";
"30.07.2017 08:30";"23.4";"700.0";"753.9";"";"93";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"19.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"4.0";"22.2";"";"";"";"";"";"";
"29.07.2017 17:30";"27.2";"701.2";"751.4";"";"79";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.2";"";"";"";"";"";"";
"29.07.2017 08:30";"22.6";"699.8";"753.9";"";"91";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"19.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"21.1";"";"";"";"";"";"";
"28.07.2017 17:30";"24.2";"697.3";"750.7";"";"90";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"24.7";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"2500 or more, or no clouds.";"";"";"4.0";"22.5";"";"";"";"";"";"";
"28.07.2017 08:30";"22.6";"697.7";"751.6";"";"96";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"19.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"22.0";"";"";"";"";"";"";
"27.07.2017 17:30";"23.6";"695.6";"749.1";"";"96";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"24.5";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"23.0";"";"";"";"";"";"";
"27.07.2017 08:30";"22.4";"696.8";"750.7";"";"96";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"19.4";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"21.8";"";"";"";"";"";"";
"26.07.2017 17:30";"23.4";"695.5";"749.0";"";"90";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"23.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"21.6";"";"";"";"";"";"";
"26.07.2017 11:30";"22.4";"696.3";"750.1";"";"98";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"19.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"";"";"";"";"22.1";"";"";"";"";"";"";
"26.07.2017 08:30";"22.4";"696.3";"750.1";"";"98";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"19.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"22.1";"";"";"";"";"";"";
"25.07.2017 17:30";"23.6";"695.2";"748.5";"";"98";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"23.3";"";"";"";"";"";"";
"25.07.2017 08:30";"23.8";"696.1";"748.9";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"20.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"21.8";"";"";"";"";"";"";
"24.07.2017 17:30";"27.0";"694.4";"747.1";"";"77";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.7";"";"";"";"";"";"";
"24.07.2017 08:30";"23.6";"696.2";"749.8";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"20.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"22.2";"";"";"";"";"";"";
"23.07.2017 08:30";"24.0";"696.0";"749.3";"";"84";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"20.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"21.2";"";"";"";"";"";"";
"22.07.2017 17:30";"27.0";"694.3";"747.7";"";"94";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"26.0";"";"";"";"";"";"";
"22.07.2017 08:30";"24.2";"695.4";"748.7";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"1000-1500";"";"";"2.0";"22.8";"";"";"";"";"";"";
"21.07.2017 17:30";"27.4";"693.5";"746.2";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"24.3";"";"";"";"";"";"";
"21.07.2017 08:30";"24.4";"695.5";"748.9";"";"94";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"20.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"23.3";"";"";"";"";"";"";
"20.07.2017 17:30";"26.6";"697.3";"745.5";"";"90";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"27.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"24.8";"";"";"";"";"";"";
