# Weather station Una, India, WMO_ID=42077,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42077&lang=en
#
"Local time in Una";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.06.2017 17:30";"32.8";"";"";"";"46";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"15.06.2017 08:30";"28.2";"";"";"";"56";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.7";"";"";"";"";"";"";
"14.06.2017 17:30";"37.6";"";"";"";"30";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"41.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"14.06.2017 08:30";"25.8";"";"";"";"59";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"21.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.2";"";"";"";"";"";"";
"13.06.2017 17:30";"34.8";"";"";"";"38";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"40.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.3";"";"";"";"";"";"";
"13.06.2017 08:30";"27.2";"";"";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.3";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"12.06.2017 17:30";"35.2";"";"";"";"37";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"39.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.4";"";"";"";"";"";"";
"11.06.2017 17:30";"34.4";"";"";"";"39";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"37.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.5";"";"";"";"";"";"";
"11.06.2017 08:30";"25.4";"";"";"";"76";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"10.06.2017 17:30";"35.0";"";"";"";"42";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"38.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.4";"";"";"";"";"";"";
"10.06.2017 08:30";"26.8";"";"";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.8";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"09.06.2017 17:30";"32.8";"";"";"";"49";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"36.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.6";"";"";"";"";"";"";
"09.06.2017 08:30";"26.6";"";"";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"08.06.2017 17:30";"32.0";"";"";"";"54";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"34.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"08.06.2017 08:30";"25.8";"";"";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"07.06.2017 17:30";"31.8";"";"";"";"54";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"07.06.2017 08:30";"22.2";"";"";"";"81";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"19.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"18.7";"";"";"";"";"";"";
"06.06.2017 17:30";"38.2";"";"";"";"40";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"40.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.4";"";"";"";"";"";"";
"06.06.2017 08:30";"33.0";"";"";"";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"29.8";"";"";"";"";"";"";"2.0";"24.5";"";"";"";"";"";"";
"05.06.2017 17:30";"39.2";"";"";"";"35";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"05.06.2017 08:30";"31.4";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"04.06.2017 17:30";"41.2";"";"";"";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"44.8";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"03.06.2017 17:30";"39.4";"";"";"";"27";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"42.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"03.06.2017 08:30";"27.4";"";"";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"02.06.2017 17:30";"36.6";"";"";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"39.2";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"02.06.2017 08:30";"26.0";"";"";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"01.06.2017 17:30";"34.8";"";"";"";"41";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"01.06.2017 08:30";"25.4";"";"";"";"66";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"21.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.5";"";"";"";"";"";"";
"31.05.2017 17:30";"29.0";"";"";"";"57";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.5";"";"";"";"";"";"";
"31.05.2017 08:30";"22.0";"";"";"";"82";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"17.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.8";"";"";"";"";"";"";
"30.05.2017 17:30";"36.0";"";"";"";"39";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"38.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"30.05.2017 08:30";"26.4";"";"";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.3";"";"";"";"";"";"";
"29.05.2017 17:30";"34.8";"";"";"";"39";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.0";"";"";"";"";"";"";
"29.05.2017 08:30";"26.0";"";"";"";"59";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"19.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"28.05.2017 17:30";"36.0";"";"";"";"43";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"39.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"28.05.2017 08:30";"29.8";"";"";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"27.05.2017 17:30";"39.2";"";"";"";"31";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"41.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"27.05.2017 08:30";"27.6";"";"";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"26.05.2017 17:30";"39.0";"";"";"";"30";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"42.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.5";"";"";"";"";"";"";
"26.05.2017 08:30";"28.6";"";"";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"";"21.8";"";"";"";"";"";"";
"25.05.2017 17:30";"39.0";"";"";"";"28";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"41.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.6";"";"";"";"";"";"";
"25.05.2017 11:30";"27.6";"";"";"";"65";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"24.4";"40.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"20.5";"";"";"";"";"";"";
"25.05.2017 08:30";"27.6";"";"";"";"65";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"24.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"24.05.2017 17:30";"37.4";"";"";"";"32";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"40.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.3";"";"";"";"";"";"";
"24.05.2017 08:30";"28.4";"";"";"";"57";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"22.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"22.05.2017 17:30";"26.0";"";"";"";"58";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.2";"";"";"";"";"";"";
"22.05.2017 08:30";"25.2";"";"";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"19.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.3";"";"";"";"";"";"";
"21.05.2017 17:30";"30.2";"";"";"";"52";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"34.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"21.05.2017 08:30";"27.4";"";"";"";"60";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.0";"";"";"";"";"";"";
"20.05.2017 17:30";"37.0";"";"";"";"32";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"39.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
"20.05.2017 08:30";"24.0";"";"";"";"68";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"20.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.6";"";"";"";"";"";"";
"19.05.2017 17:30";"36.8";"";"";"";"34";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"39.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.6";"";"";"";"";"";"";
"19.05.2017 08:30";"27.2";"";"";"";"52";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.6";"";"";"";"";"";"";
"18.05.2017 17:30";"34.6";"";"";"";"35";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"38.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.8";"";"";"";"";"";"";
"18.05.2017 08:30";"27.4";"";"";"";"51";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.5";"";"";"";"";"";"";
"17.05.2017 17:30";"33.2";"";"";"";"39";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"16.05.2017 08:30";"29.0";"";"";"";"47";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.5";"";"";"";"";"";"";
"15.05.2017 17:30";"39.8";"";"";"";"26";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"43.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.7";"";"";"";"";"";"";
"15.05.2017 08:30";"27.6";"";"";"";"53";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"23.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.1";"";"";"";"";"";"";
"14.05.2017 17:30";"38.4";"";"";"";"30";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"41.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.0";"";"";"";"";"";"";
"14.05.2017 08:30";"28.0";"";"";"";"52";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"23.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.2";"";"";"";"";"";"";
"13.05.2017 17:30";"39.2";"";"";"";"30";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"42.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.4";"";"";"";"";"";"";
"13.05.2017 08:30";"28.2";"";"";"";"50";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"22.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.7";"";"";"";"";"";"";
"12.05.2017 17:30";"38.6";"";"";"";"29";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"41.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.5";"";"";"";"";"";"";
"12.05.2017 08:30";"27.6";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"11.05.2017 17:30";"34.8";"";"";"";"38";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"38.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.3";"";"";"";"";"";"";
"11.05.2017 08:30";"28.8";"";"";"";"49";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"24.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.1";"";"";"";"";"";"";
"10.05.2017 17:30";"36.0";"";"";"";"36";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"39.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.7";"";"";"";"";"";"";
"10.05.2017 08:30";"26.2";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.3";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"09.05.2017 17:30";"34.4";"";"";"";"35";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"39.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"09.05.2017 08:30";"29.0";"";"";"";"52";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"23.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"08.05.2017 17:30";"39.8";"";"";"";"19";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"42.6";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"08.05.2017 08:30";"27.2";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"07.05.2017 17:30";"38.4";"";"";"";"29";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"42.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.2";"";"";"";"";"";"";
"07.05.2017 08:30";"27.0";"";"";"";"56";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.5";"";"";"";"";"";"";
"06.05.2017 17:30";"36.6";"";"";"";"37";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"40.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.5";"";"";"";"";"";"";
"06.05.2017 08:30";"25.8";"";"";"";"72";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"19.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.3";"";"";"";"";"";"";
"05.05.2017 17:30";"36.0";"";"";"";"41";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"38.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.6";"";"";"";"";"";"";
"05.05.2017 08:30";"23.6";"";"";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"04.05.2017 17:30";"35.4";"";"";"";"40";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"38.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"04.05.2017 08:30";"26.2";"";"";"";"57";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"21.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"03.05.2017 17:30";"30.0";"";"";"";"47";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
