# Weather station Purulia, India, WMO_ID=42705,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42705&lang=en
#
"Local time in Purulia";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"06.06.2017 17:30";"34.6";"729.6";"750.5";"";"36";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"37.1";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"06.06.2017 08:30";"29.6";"727.4";"748.6";"";"67";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"21.1";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"05.06.2017 17:30";"41.4";"726.6";"747.0";"";"26";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"43.7";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.2";"";"";"";"";"";"";
"05.06.2017 08:30";"31.0";"728.3";"749.5";"";"75";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"28.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.0";"";"";"";"";"";"";
"04.06.2017 17:30";"42.0";"726.6";"747.0";"";"19";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"43.3";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"04.06.2017 08:30";"31.0";"730.4";"751.6";"";"66";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"28.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"10.0";"23.8";"";"";"";"";"";"";
"03.06.2017 17:30";"38.0";"730.4";"751.1";"";"27";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"40.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.2";"";"";"";"";"";"";
"03.06.2017 08:30";"29.0";"728.8";"750.1";"";"64";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"24.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"02.06.2017 17:30";"37.8";"727.1";"747.8";"";"32";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"39.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.4";"";"";"";"";"";"";
"02.06.2017 08:30";"29.0";"734.0";"755.5";"";"61";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"26.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.6";"";"";"";"";"";"";
"01.06.2017 17:30";"34.4";"730.8";"751.8";"";"39";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"37.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.5";"";"";"";"";"";"";
"01.06.2017 08:30";"29.4";"728.2";"749.5";"";"58";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"25.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.3";"";"";"";"";"";"";
"31.05.2017 17:30";"34.0";"727.3";"748.2";"";"56";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"34.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.0";"";"";"";"";"";"";
"31.05.2017 08:30";"27.0";"726.3";"747.7";"";"72";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.1";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"30.05.2017 17:30";"35.0";"730.4";"751.3";"";"46";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"38.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.9";"";"";"";"";"";"";
"30.05.2017 08:30";"26.2";"726.0";"747.4";"";"70";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"23.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.3";"";"";"";"";"";"";
"29.05.2017 17:30";"33.2";"726.5";"747.5";"";"60";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"37.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.3";"";"";"";"";"";"";
"29.05.2017 08:30";"26.6";"725.1";"746.5";"";"68";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"22.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.2";"";"";"";"";"";"";
"28.05.2017 17:30";"34.0";"727.3";"748.2";"";"47";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"35.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.3";"";"";"";"";"";"";
"28.05.2017 08:30";"28.6";"731.1";"752.5";"";"76";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"25.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.0";"";"";"";"";"";"";
"27.05.2017 17:30";"31.0";"730.3";"751.5";"";"59";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"33.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.2";"";"";"";"";"";"";
"27.05.2017 08:30";"24.2";"731.2";"752.9";"";"81";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"22.1";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"26.05.2017 17:30";"22.0";"730.3";"752.2";"";"91";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"37.7";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"26.05.2017 08:30";"31.2";"729.5";"750.7";"";"64";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"27.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"";"23.7";"";"";"";"";"";"";
"25.05.2017 17:30";"38.0";"727.2";"747.8";"";"36";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"41.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.3";"";"";"";"";"";"";
"25.05.2017 08:30";"33.0";"731.1";"752.2";"";"45";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"26.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.4";"";"";"";"";"";"";
"24.05.2017 17:30";"38.0";"727.1";"747.7";"";"42";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"39.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.8";"";"";"";"";"";"";
"23.05.2017 17:30";"32.4";"730.4";"751.5";"";"42";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"40.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.8";"";"";"";"";"";"";
"23.05.2017 08:30";"28.0";"734.8";"756.4";"";"63";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"24.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.4";"";"";"";"";"";"";
"22.05.2017 17:30";"35.0";"729.6";"750.5";"";"46";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"39.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.9";"";"";"";"";"";"";
"22.05.2017 08:30";"26.6";"730.3";"751.8";"";"65";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"24.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.5";"";"";"";"";"";"";
"21.05.2017 17:30";"32.2";"727.8";"748.9";"";"39";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.4";"";"";"";"";"";"";
"21.05.2017 08:30";"30.0";"729.6";"750.9";"";"44";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"25.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.3";"";"";"";"";"";"";
"20.05.2017 08:30";"27.6";"731.0";"752.5";"";"59";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"24.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.9";"";"";"";"";"";"";
"19.05.2017 17:30";"38.0";"730.4";"751.1";"";"27";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"40.7";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.2";"";"";"";"";"";"";
"19.05.2017 08:30";"27.6";"731.2";"752.7";"";"59";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"23.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.9";"";"";"";"";"";"";
"18.05.2017 17:30";"30.0";"729.2";"750.5";"";"53";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"37.1";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.3";"";"";"";"";"";"";
"18.05.2017 08:30";"27.0";"731.1";"752.6";"";"71";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"23.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.3";"";"";"";"";"";"";
"16.05.2017 17:30";"33.0";"732.4";"753.5";"";"45";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"36.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.4";"";"";"";"";"";"";
"16.05.2017 08:30";"26.0";"730.3";"751.9";"";"69";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"24.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.9";"";"";"";"";"";"";
"15.05.2017 17:30";"33.4";"726.7";"747.6";"";"61";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"37.3";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"15.05.2017 08:30";"29.8";"730.3";"751.6";"";"75";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"26.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.0";"";"";"";"";"";"";
"14.05.2017 17:30";"38.4";"728.6";"749.3";"";"26";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"40.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"15.9";"";"";"";"";"";"";
"14.05.2017 08:30";"26.8";"731.1";"752.6";"";"67";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"24.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.1";"";"";"";"";"";"";
"13.05.2017 17:30";"31.0";"729.3";"750.5";"";"54";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.5";"";"";"";"";"";"";
"13.05.2017 08:30";"30.0";"733.2";"754.6";"";"65";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"25.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.7";"";"";"";"";"";"";
"12.05.2017 08:30";"26.0";"734.8";"756.5";"";"69";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"22.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.9";"";"";"";"";"";"";
"11.05.2017 17:30";"38.6";"727.3";"747.9";"";"22";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"40.7";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.4";"";"";"";"";"";"";
"11.05.2017 08:30";"27.8";"734.6";"756.2";"";"74";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"25.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.8";"";"";"";"";"";"";
"10.05.2017 17:30";"33.8";"732.1";"753.2";"";"41";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"36.3";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.9";"";"";"";"";"";"";
"10.05.2017 08:30";"25.4";"734.1";"755.8";"";"69";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"24.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.2";"";"";"";"";"";"";
"09.05.2017 17:30";"25.0";"728.7";"750.3";"";"83";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.9";"";"";"";"";"";"";
"09.05.2017 08:30";"28.6";"732.5";"754.0";"";"48";"Wind blowing from the east";"4";"";"";"20–30%.";" ";"";"";"24.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.4";"";"";"";"";"";"";
"08.05.2017 17:30";"35.0";"730.2";"751.1";"";"46";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"38.5";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"08.05.2017 08:30";"27.0";"733.3";"754.9";"";"77";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"26.1";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"07.05.2017 17:30";"39.0";"730.7";"751.4";"";"30";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"39.7";"Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.5";"";"";"";"";"";"";
"07.05.2017 08:30";"29.6";"734.1";"755.5";"";"40";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"26.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.5";"";"";"";"";"";"";
"06.05.2017 17:30";"39.4";"728.6";"749.2";"";"27";"Wind blowing from the north-northeast";"1";"";"";"50%.";" ";"";"";"";"40.7";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"06.05.2017 08:30";"28.0";"734.2";"755.7";"";"57";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"25.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"18.7";"";"";"";"";"";"";
"05.05.2017 17:30";"40.4";"729.3";"749.8";"-1.9";"16";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"41.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.1";"";"";"";"";"";"";
"05.05.2017 14:30";"28.4";"731.2";"752.6";"";"78";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"25.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.1";"";"";"";"";"";"";
"05.05.2017 08:30";"28.4";"731.2";"752.6";"";"78";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"25.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.1";"";"";"";"";"";"";
"04.05.2017 17:30";"39.0";"729.5";"750.1";"";"19";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"40.3";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.5";"";"";"";"";"";"";
