# Weather station Sheopur, India, WMO_ID=42456,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42456&lang=en
#
"Local time in Sheopur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.07.2017 08:30";"26.8";"729.0";"748.8";"";"97";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"26.2";"";"";"";"";"";"";
"21.07.2017 17:30";"26.8";"728.0";"747.7";"";"94";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"2.0";"25.7";"";"";"";"";"";"";
"21.07.2017 08:30";"27.0";"729.6";"749.4";"";"99";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.8";"";"";"";"";"";"";
"20.07.2017 17:30";"32.4";"727.1";"746.5";"";"64";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"24.7";"";"";"";"";"";"";
"20.07.2017 08:30";"30.6";"730.2";"749.8";"";"81";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"27.0";"";"";"";"";"";"";
"19.07.2017 17:30";"32.8";"727.8";"747.2";"";"64";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"25.2";"";"";"";"";"";"";
"19.07.2017 08:30";"31.0";"731.6";"751.2";"";"77";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"27.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.6";"";"";"";"";"";"";
"18.07.2017 17:30";"29.4";"729.7";"749.3";"";"82";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"26.0";"";"";"";"";"";"";
"18.07.2017 08:30";"29.4";"731.1";"750.8";"";"78";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"26.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.1";"";"";"";"";"";"";
"17.07.2017 17:30";"27.4";"729.7";"749.5";"";"89";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"25.4";"";"";"";"";"";"";
"17.07.2017 08:30";"29.4";"731.7";"751.4";"";"82";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"27.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.0";"";"";"";"";"";"";
"16.07.2017 17:30";"32.4";"729.3";"748.7";"";"73";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"26.9";"";"";"";"";"";"";
"16.07.2017 08:30";"27.8";"732.4";"752.2";"";"94";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"26.7";"";"";"";"";"";"";
"15.07.2017 17:30";"34.0";"728.4";"747.7";"";"63";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"36.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"25.9";"";"";"";"";"";"";
"15.07.2017 08:30";"30.0";"731.6";"751.2";"";"78";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"27.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"25.8";"";"";"";"";"";"";
"14.07.2017 17:30";"33.4";"728.6";"747.9";"";"59";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"34.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.3";"";"";"";"";"";"";
"14.07.2017 08:30";"29.2";"731.0";"750.7";"";"83";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"26.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"26.1";"";"";"";"";"";"";
"13.07.2017 17:30";"32.0";"728.6";"748.0";"";"64";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.3";"";"";"";"";"";"";
"13.07.2017 08:30";"27.6";"731.7";"751.5";"";"95";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"26.8";"";"";"";"";"";"";
"12.07.2017 17:30";"32.0";"730.7";"750.2";"";"63";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.0";"";"";"";"";"";"";
"12.07.2017 08:30";"30.8";"732.9";"752.5";"";"67";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.9";"";"";"";"";"";"";
"11.07.2017 17:30";"36.4";"730.6";"749.8";"";"42";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.7";"";"";"";"";"";"";
"11.07.2017 08:30";"31.2";"733.8";"753.4";"";"61";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"28.6";"";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"10.07.2017 17:30";"37.4";"730.5";"749.6";"";"38";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"37.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"20.6";"";"";"";"";"";"";
"10.07.2017 08:30";"30.0";"733.2";"752.9";"";"69";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"28.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.7";"";"";"";"";"";"";
"09.07.2017 17:30";"30.8";"730.8";"750.4";"";"67";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"31.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"23.9";"";"";"";"";"";"";
"09.07.2017 08:30";"31.0";"733.1";"752.7";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"30.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"2.0";"22.9";"";"";"";"";"";"";
"08.07.2017 17:30";"36.0";"730.6";"749.8";"";"42";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"37.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"21.3";"";"";"";"";"";"";
"08.07.2017 08:30";"30.6";"733.7";"753.4";"";"63";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"28.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.7";"";"";"";"";"";"";
"07.07.2017 08:30";"30.8";"733.8";"753.4";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"06.07.2017 17:30";"36.0";"729.9";"749.1";"";"40";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"20.2";"";"";"";"";"";"";
"06.07.2017 08:30";"30.0";"732.5";"752.2";"";"65";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"27.4";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"05.07.2017 17:30";"34.0";"729.3";"748.6";"";"51";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.4";"";"";"";"";"";"";
"05.07.2017 08:30";"29.4";"731.6";"751.3";"";"71";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus translucidus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.6";"";"";"";"";"";"";
"03.07.2017 17:30";"26.0";"728.8";"748.6";"";"100";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"26.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"26.0";"";"";"";"";"";"";
"03.07.2017 08:30";"28.4";"730.7";"750.4";"";"82";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"28.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.0";"";"";"";"";"";"";
"02.07.2017 17:30";"37.0";"727.1";"746.2";"";"36";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"38.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"19.7";"";"";"";"";"";"";
"02.07.2017 08:30";"29.2";"729.5";"749.1";"";"72";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"27.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.7";"";"";"";"";"";"";
"01.07.2017 17:30";"34.8";"727.0";"746.2";"";"52";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"35.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.7";"";"";"";"";"";"";
"01.07.2017 08:30";"30.4";"729.5";"749.0";"";"69";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"27.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.1";"";"";"";"";"";"";
"30.06.2017 17:30";"35.4";"726.8";"746.0";"";"59";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"36.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"26.3";"";"";"";"";"";"";
"30.06.2017 08:30";"30.4";"730.1";"749.7";"";"72";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"24.7";"";"";"";"";"";"";
"29.06.2017 17:30";"35.0";"728.5";"747.7";"";"57";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"35.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.2";"";"";"";"";"";"";
"29.06.2017 08:30";"28.8";"731.7";"751.4";"";"80";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"25.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.1";"";"";"";"";"";"";
"28.06.2017 20:30";"";"";"756.6";"";"";"Wind blowing from the north";"13";"";"";"10%  or less, but not 0";" ";"";"";"";"";"";"";"1000-1500";"";"";"1.3";"11.3";"";"";"";"";"";"";
"28.06.2017 17:30";"32.6";"729.3";"748.7";"";"59";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"35.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"23.7";"";"";"";"";"";"";
"28.06.2017 08:30";"29.4";"731.0";"750.7";"";"79";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"26.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"25.4";"";"";"";"";"";"";
"27.06.2017 17:30";"29.0";"728.7";"748.3";"";"75";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.1";"";"";"";"";"";"";
"27.06.2017 08:30";"31.4";"730.9";"750.4";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"28.4";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"26.06.2017 17:30";"39.4";"727.5";"746.4";"";"37";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"41.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.1";"";"";"";"";"";"";
"26.06.2017 08:30";"32.8";"730.9";"750.3";"";"58";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"29.4";"";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"25.06.2017 17:30";"40.0";"726.4";"745.3";"";"34";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"41.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"21.1";"";"";"";"";"";"";
"25.06.2017 08:30";"33.8";"730.0";"749.3";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"29.8";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"24.06.2017 08:30";"31.2";"731.2";"750.7";"";"61";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"28.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.8";"";"";"";"";"";"";
"23.06.2017 17:30";"36.0";"729.8";"749.0";"";"42";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.3";"";"";"";"";"";"";
"23.06.2017 08:30";"29.4";"733.2";"752.9";"";"75";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"24.5";"";"";"";"";"";"";
"22.06.2017 17:30";"30.2";"731.6";"751.2";"";"60";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"21.6";"";"";"";"";"";"";
"22.06.2017 08:30";"23.4";"733.3";"753.4";"";"83";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"22.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus cumulonimbogenitus.";"2.0";"20.3";"";"";"";"";"";"";
"21.06.2017 17:30";"36.0";"729.8";"749.0";"";"38";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"39.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus cumulonimbogenitus.";"2.0";"19.5";"";"";"";"";"";"";
"21.06.2017 08:30";"30.0";"729.9";"749.5";"";"53";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"28.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"19.3";"";"";"";"";"";"";
"20.06.2017 17:30";"39.0";"728.2";"747.2";"";"37";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"39.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.6";"";"";"";"";"";"";
"20.06.2017 08:30";"32.4";"731.4";"750.9";"";"64";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"25.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.7";"";"";"";"";"";"";
"19.06.2017 17:30";"38.0";"727.5";"746.5";"";"40";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"41.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.1";"";"";"";"";"";"";
"19.06.2017 08:30";"35.0";"735.0";"754.4";"";"47";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"31.4";"";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"18.06.2017 17:30";"40.6";"728.9";"747.8";"";"30";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"41.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2000-2500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"19.6";"";"";"";"";"";"";
"18.06.2017 08:30";"35.0";"732.2";"751.5";"";"45";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"31.0";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"17.06.2017 17:30";"40.4";"729.7";"748.6";"";"26";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"40.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.6";"";"";"";"";"";"";
