# Weather station Barmer, India, WMO_ID=42435,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42435&lang=en
#
"Local time in Barmer";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.06.2016 20:30";"38.8";"732.6";"748.2";"1.4";"29";"Wind blowing from the south";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.8";"";"";"";"";"";"";
"21.06.2016 17:30";"42.8";"731.2";"746.6";"-1.0";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"43.6";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"21.06.2016 14:30";"42.6";"732.2";"747.7";"-1.2";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"21.06.2016 11:30";"37.0";"733.4";"749.2";"0.0";"35";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"21.06.2016 08:30";"31.6";"733.4";"749.4";"0.7";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"29.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.2";"";"";"";"";"";"";
"21.06.2016 05:30";"31.2";"732.7";"748.7";"0.6";"61";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"21.06.2016 02:30";"34.4";"732.1";"748.0";"-0.7";"65";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"20.06.2016 23:30";"36.4";"732.8";"748.6";"1.0";"47";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"20.06.2016 20:30";"39.0";"731.8";"747.4";"-0.5";"32";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"20.06.2016 17:30";"44.2";"732.3";"747.7";"-0.9";"20";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"45.6";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"20.06.2016 14:30";"43.2";"733.2";"748.6";"-1.3";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"20.06.2016 11:30";"39.8";"734.5";"750.1";"-0.2";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"20.06.2016 08:30";"32.4";"734.7";"750.7";"1.2";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"30.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.8";"";"";"";"";"";"";
"20.06.2016 05:30";"32.0";"733.5";"749.5";"-0.4";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"20.06.2016 02:30";"35.0";"733.9";"749.8";"-0.5";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"19.06.2016 23:30";"37.8";"734.4";"750.1";"1.4";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"19.06.2016 20:30";"39.6";"733.0";"748.6";"0.1";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"19.06.2016 17:30";"43.4";"732.9";"748.3";"-1.6";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"43.8";"";"";"";"";"";"4.0";"21.9";"";"";"";"";"";"";
"19.06.2016 14:30";"43.0";"734.5";"750.0";"-1.2";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"19.06.2016 11:30";"35.6";"735.7";"751.6";"0.5";"46";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"19.06.2016 08:30";"30.0";"735.2";"751.4";"0.3";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"28.6";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"19.06.2016 05:30";"28.6";"734.9";"751.1";"";"67";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"18.06.2016 23:30";"35.4";"734.3";"750.2";"0.0";"42";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"18.06.2016 20:30";"35.8";"734.3";"750.1";"0.9";"35";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"18.06.2016 17:30";"41.4";"733.4";"748.9";"-1.7";"22";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"41.6";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"18.06.2016 14:30";"39.6";"735.1";"750.8";"-1.6";"29";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"18.06.2016 11:30";"36.2";"736.7";"752.6";"0.1";"42";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.2";"";"";"";"";"";"";
"18.06.2016 08:30";"29.4";"736.6";"752.8";"0.8";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.1";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"18.06.2016 05:30";"28.2";"735.8";"752.1";"1.1";"69";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"18.06.2016 02:30";"32.6";"734.7";"750.7";"-0.5";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"17.06.2016 23:30";"34.8";"735.2";"751.1";"1.6";"46";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"17.06.2016 20:30";"38.2";"733.6";"749.3";"0.9";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"17.06.2016 17:30";"41.0";"732.7";"748.2";"-1.6";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"41.7";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"17.06.2016 14:30";"40.4";"734.3";"749.9";"-1.1";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.8";"";"";"";"";"";"";
"17.06.2016 11:30";"35.4";"735.4";"751.3";"0.0";"46";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"17.06.2016 08:30";"29.6";"735.4";"751.6";"3.1";"67";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"27.2";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"17.06.2016 05:30";"28.6";"732.3";"748.5";"-0.7";"74";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"17.06.2016 02:30";"31.2";"733.0";"749.1";"-0.5";"58";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"16.06.2016 23:30";"32.8";"733.5";"749.5";"1.6";"52";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"16.06.2016 20:30";"36.2";"731.9";"747.7";"0.3";"44";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"16.06.2016 17:30";"40.2";"731.6";"747.2";"-1.2";"32";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"40.6";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"16.06.2016 14:30";"39.4";"732.8";"748.4";"-0.8";"37";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"16.06.2016 11:30";"35.0";"733.6";"749.5";"0.2";"53";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.2";"";"";"";"";"";"";
"16.06.2016 08:30";"29.8";"733.4";"749.5";"1.1";"69";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"27.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"16.06.2016 05:30";"28.6";"732.3";"748.5";"0.3";"74";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"16.06.2016 02:30";"31.2";"732.0";"748.0";"-0.3";"61";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"15.06.2016 23:30";"32.8";"732.3";"748.3";"1.1";"56";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"15.06.2016 20:30";"36.2";"731.2";"747.0";"0.6";"43";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"15.06.2016 17:30";"39.6";"730.6";"746.2";"-1.5";"31";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"40.1";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"15.06.2016 14:30";"38.6";"732.1";"747.7";"-1.8";"35";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"15.06.2016 11:30";"34.4";"733.9";"749.8";"0.0";"47";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"15.06.2016 08:30";"29.8";"733.9";"750.0";"0.8";"63";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"28.4";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.1";"";"";"";"";"";"";
"15.06.2016 05:30";"29.4";"733.1";"749.2";"0.2";"67";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"70 – 80%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"15.06.2016 02:30";"30.0";"732.9";"749.0";"-0.7";"64";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"14.06.2016 23:30";"31.8";"733.6";"749.6";"0.7";"58";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"14.06.2016 20:30";"35.4";"732.9";"748.7";"0.3";"44";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"14.06.2016 17:30";"39.0";"732.6";"748.2";"-1.2";"34";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"39.4";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"14.06.2016 14:30";"38.6";"733.8";"749.5";"-1.3";"37";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"14.06.2016 11:30";"34.8";"735.1";"751.0";"-0.5";"48";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"14.06.2016 08:30";"30.6";"735.6";"751.7";"0.5";"70";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";" ";"";"";"29.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"14.06.2016 05:30";"29.8";"735.1";"751.3";"0.0";"66";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"14.06.2016 02:30";"30.0";"735.1";"751.3";"-0.4";"65";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"13.06.2016 23:30";"32.6";"735.5";"751.5";"0.9";"55";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"13.06.2016 20:30";"35.4";"734.6";"750.5";"1.1";"45";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"13.06.2016 17:30";"38.4";"733.5";"749.2";"-1.1";"39";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"39.7";"";"";"";"";"";"4.0";"22.3";"";"";"";"";"";"";
"13.06.2016 14:30";"38.4";"734.6";"750.3";"-1.5";"37";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"13.06.2016 11:30";"35.4";"736.1";"752.0";"0.0";"45";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"13.06.2016 08:30";"30.6";"736.1";"752.3";"1.3";"62";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"29.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"13.06.2016 05:30";"29.6";"734.8";"751.0";"0.2";"67";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"13.06.2016 02:30";"31.4";"734.6";"750.7";"-0.4";"61";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.0";"";"";"";"";"";"";
"12.06.2016 23:30";"33.0";"735.0";"751.0";"1.1";"57";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.5";"";"";"";"";"";"";
"12.06.2016 20:30";"36.6";"733.9";"749.7";"1.5";"44";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"12.06.2016 17:30";"39.8";"732.4";"748.0";"-1.2";"33";"Wind blowing from the south-west";"2";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"40.2";"";"";"";"";"";"2.0";"20.8";"";"";"";"";"";"";
"12.06.2016 14:30";"39.4";"733.6";"749.2";"-2.7";"35";"Wind blowing from the south-west";"3";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"21.4";"";"";"";"";"";"";
"12.06.2016 11:30";"36.0";"736.3";"752.2";"0.0";"45";"Wind blowing from the south-west";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"12.06.2016 08:30";"30.6";"736.3";"752.5";"1.1";"62";"Wind blowing from the south";"2";"";"";"40%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"28.5";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.4";"";"";"";"";"";"";
"12.06.2016 05:30";"29.4";"735.2";"751.4";"0.6";"68";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"90  or more, but not 100%";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.0";"";"";"";"";"";"";
"12.06.2016 02:30";"31.0";"734.6";"750.7";"-0.2";"66";"Wind blowing from the south-west";"2";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"23.8";"";"";"";"";"";"";
"11.06.2016 23:30";"32.4";"734.8";"750.8";"";"63";"Wind blowing from the south-west";"2";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"24.4";"";"";"";"";"";"";
"11.06.2016 17:30";"39.4";"732.6";"748.2";"-1.3";"36";"Wind blowing from the south-west";"3";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"40.3";"";"";"";"";"";"2.0";"21.7";"";"";"";"";"";"";
"11.06.2016 14:30";"39.6";"733.9";"749.5";"-1.2";"37";"Wind blowing from the south-west";"2";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"22.4";"";"";"";"";"";"";
"11.06.2016 11:30";"36.0";"735.1";"750.9";"-0.4";"55";"Wind blowing from the west";"2";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"25.7";"";"";"";"";"";"";
"11.06.2016 08:30";"31.4";"735.5";"751.6";"1.5";"70";"Wind blowing from the south-west";"2";"";"";"50%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"29.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.2";"";"";"";"";"";"";
"11.06.2016 05:30";"29.2";"734.0";"750.2";"0.6";"76";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.6";"";"";"";"";"";"";
"11.06.2016 02:30";"31.2";"733.4";"749.5";"-0.2";"72";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.6";"";"";"";"";"";"";
"10.06.2016 23:30";"32.6";"733.6";"749.6";"1.1";"68";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"25.9";"";"";"";"";"";"";
"10.06.2016 20:30";"36.6";"732.5";"748.3";"0.2";"51";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"24.8";"";"";"";"";"";"";
"10.06.2016 17:30";"40.0";"732.3";"747.9";"-1.3";"41";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"41.7";"";"";"";"";"";"4.0";"24.3";"";"";"";"";"";"";
"10.06.2016 14:30";"39.2";"733.6";"749.2";"-1.6";"43";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"10.06.2016 11:30";"35.6";"735.2";"751.1";"-0.1";"58";"Wind blowing from the south-west";"2";"";"";"50%.";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.2";"";"";"";"";"";"";
"10.06.2016 08:30";"30.4";"735.3";"751.4";"";"76";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"29.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.6";"";"";"";"";"";"";
"10.06.2016 02:30";"32.4";"734.1";"750.1";"-0.2";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"26.3";"";"";"";"";"";"";
"09.06.2016 23:30";"33.8";"734.3";"750.2";"1.1";"68";"Wind blowing from the south-west";"2";"";"";"no clouds";"Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"27.2";"";"";"";"";"";"";
