# Weather station Dhubri, India, WMO_ID=42404,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42404&lang=en
#
"Local time in Dhubri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.06.2017 11:30";"33.4";"";"";"";"77";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.8";"";"";"";"";"";"";
"09.06.2017 08:30";"31.2";"";"";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"25.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"27.1";"";"";"";"";"";"";
"08.06.2017 17:30";"28.2";"";"";"";"86";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"25.7";"";"";"";"";"";"";
"08.06.2017 14:30";"28.4";"";"";"";"85";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm (with or without precipitation). ";"Thunderstorm(s) with or without precipitation.";"Drizzle.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"25.6";"";"";"";"";"";"";
"08.06.2017 11:30";"34.6";"";"";"";"70";"Wind blowing from the south-west";"1";"";"";"60%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.4";"";"";"";"";"";"";
"08.06.2017 08:30";"32.0";"";"";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"26.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.2";"";"";"";"";"";"";
"07.06.2017 17:30";"32.4";"";"";"";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.6";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.6";"";"";"";"";"";"";
"07.06.2017 14:30";"33.8";"";"";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.5";"";"";"";"";"";"";
"07.06.2017 11:30";"33.0";"";"";"";"77";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.4";"";"";"";"";"";"";
"07.06.2017 08:30";"32.2";"";"";"";"78";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"26.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.8";"";"";"";"";"";"";
"06.06.2017 17:30";"29.8";"";"";"";"85";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"32.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.0";"";"";"";"";"";"";
"06.06.2017 14:30";"31.8";"";"";"";"76";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"06.06.2017 11:30";"30.6";"";"";"";"80";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"06.06.2017 08:30";"29.6";"";"";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"25.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.5";"";"";"";"";"";"";
"05.06.2017 17:30";"28.8";"";"";"";"86";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.8";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.3";"";"";"";"";"";"";
"05.06.2017 14:30";"30.2";"";"";"";"91";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.6";"";"";"";"";"";"";
"05.06.2017 11:30";"29.0";"";"";"";"90";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.1";"";"";"";"";"";"";
"05.06.2017 08:30";"24.0";"";"";"";"91";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Drizzle.";"21.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"22.5";"";"";"";"";"";"";
"04.06.2017 17:30";"29.4";"";"";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"26.3";"";"";"";"";"";"";
"04.06.2017 14:30";"30.2";"187.2";"";"";"83";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"Less than  50";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"1.0";"26.9";"";"";"";"";"";"";
"04.06.2017 11:30";"29.8";"";"";"";"82";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"26.5";"";"";"";"";"";"";
"04.06.2017 08:30";"27.0";"";"";"";"92";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"24.4";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"25.6";"";"";"";"";"";"";
"03.06.2017 17:30";"30.8";"";"";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"31.8";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.5";"";"";"";"";"";"";
"03.06.2017 14:30";"26.2";"748.6";"751.6";"";"98";"Wind blowing from the south";"4";"";"";"100%.";"Mist. ";"Rain.";"Drizzle.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.9";"";"";"";"";"";"";
"03.06.2017 11:30";"29.4";"";"";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"27.5";"";"";"";"";"";"";
"03.06.2017 08:30";"25.6";"";"";"";"97";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.6";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"25.0";"";"";"";"";"";"";
"02.06.2017 17:30";"28.0";"";"";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"26.6";"";"";"";"";"";"";
"02.06.2017 14:30";"28.2";"";"";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"25.7";"";"";"";"";"";"";
"02.06.2017 11:30";"27.8";"";"";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"25.2";"";"";"";"";"";"";
"02.06.2017 08:30";"26.0";"";"";"";"95";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Rain.";"Drizzle.";"25.4";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.1";"";"";"";"";"";"";
"01.06.2017 17:30";"29.2";"";"";"";"83";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"01.06.2017 14:30";"31.8";"";"";"";"78";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"01.06.2017 11:30";"31.4";"";"";"";"72";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"01.06.2017 08:30";"28.6";"";"";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.1";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"31.05.2017 17:30";"31.6";"";"";"";"77";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"31.8";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.0";"";"";"";"";"";"";
"31.05.2017 14:30";"31.2";"";"";"";"75";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"31.05.2017 11:30";"31.0";"";"";"";"78";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.8";"";"";"";"";"";"";
"31.05.2017 08:30";"27.0";"";"";"";"90";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"25.3";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"25.3";"";"";"";"";"";"";
"30.05.2017 17:30";"27.0";"";"";"";"84";"Wind blowing from the east";"6";"";"";"100%.";" ";"";"";"";"28.0";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"24.1";"";"";"";"";"";"";
"30.05.2017 11:30";"27.4";"";"";"";"84";"Wind blowing from the east";"3";"";"";"100%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"24.5";"";"";"";"";"";"";
"30.05.2017 08:30";"27.0";"";"";"";"87";"Wind blowing from the south-east";"6";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Drizzle.";"25.2";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.7";"";"";"";"";"";"";
"29.05.2017 17:30";"30.2";"";"";"";"77";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"";"33.1";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"29.05.2017 14:30";"32.6";"";"";"";"63";"Wind blowing from the south-east";"5";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"29.05.2017 11:30";"32.0";"";"";"";"74";"Wind blowing from the east-southeast";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.7";"";"";"";"";"";"";
"29.05.2017 08:30";"30.2";"";"";"";"83";"Wind blowing from the east-southeast";"4";"";"";"20–30%.";" ";"";"";"26.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"28.05.2017 17:30";"30.8";"";"";"";"80";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"32.4";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.9";"";"";"";"";"";"";
"28.05.2017 14:30";"31.6";"";"";"";"75";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.6";"";"";"";"";"";"";
"28.05.2017 11:30";"31.4";"";"";"";"79";"Wind blowing from the east";"4";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"28.05.2017 08:30";"29.0";"";"";"";"85";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.2";"";"";"";"";"";"";
"27.05.2017 17:30";"30.0";"";"";"";"85";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"31.5";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"27.05.2017 14:30";"31.0";"";"";"";"81";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.4";"";"";"";"";"";"";
"27.05.2017 11:30";"30.2";"";"";"";"84";"Wind blowing from the east-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"27.2";"";"";"";"";"";"";
"27.05.2017 08:30";"28.0";"";"";"";"85";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"23.6";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"26.05.2017 17:30";"24.6";"";"";"";"92";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"";"30.1";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.2";"";"";"";"";"";"";
"26.05.2017 14:30";"23.4";"";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"";"Altostratus opacus or Nimbostratus.";"";"";"22.7";"";"";"";"";"";"";
"26.05.2017 11:30";"29.4";"";"";"";"78";"Wind blowing from the east-southeast";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"25.1";"";"";"";"";"";"";
"26.05.2017 08:30";"26.8";"";"";"";"87";"Wind blowing from the east";"4";"";"";"70 – 80%.";" ";"";"";"24.8";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"24.5";"";"";"";"";"";"";
"25.05.2017 17:30";"30.6";"";"";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.1";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"27.9";"";"";"";"";"";"";
"25.05.2017 14:30";"31.4";"";"";"";"79";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.3";"";"";"";"";"";"";
"25.05.2017 11:30";"30.0";"";"";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"25.05.2017 08:30";"26.6";"";"";"";"90";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"23.2";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.9";"";"";"";"";"";"";
"24.05.2017 17:30";"31.8";"";"";"";"80";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.0";"";"";"";"";"";"";
"24.05.2017 14:30";"33.4";"";"";"";"77";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.8";"";"";"";"";"";"";
"24.05.2017 11:30";"31.6";"";"";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"24.05.2017 08:30";"29.0";"";"";"";"85";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"22.9";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.2";"";"";"";"";"";"";
"23.05.2017 17:30";"30.8";"";"";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.5";"";"";"";"";"";"";
"23.05.2017 14:30";"32.0";"";"";"";"78";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.6";"";"";"";"";"";"";
"23.05.2017 11:30";"30.0";"";"";"";"85";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.2";"";"";"";"";"";"";
"23.05.2017 08:30";"28.4";"";"";"";"83";"Wind blowing from the south-east";"2";"";"";"90  or more, but not 100%";" ";"";"";"24.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"22.05.2017 17:30";"27.8";"";"";"";"84";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"31.1";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"22.05.2017 14:30";"30.4";"";"";"";"77";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"22.05.2017 11:30";"28.4";"";"";"";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"22.05.2017 08:30";"24.4";"";"";"";"88";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"23.0";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.3";"";"";"";"";"";"";
