# Weather station Goalpara, India, WMO_ID=42407,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42407&lang=en
#
"Local time in Goalpara";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.08.2017 08:30";"19.6";"746.8";"750.1";"";"94";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain, not freezing, intermittent, heavy at time of observation. ";"";"";"19.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.6";"";"";"";"";"";"";
"13.08.2017 17:30";"28.6";"745.7";"748.9";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.6";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.8";"";"";"";"";"";"";
"13.08.2017 08:30";"18.6";"748.0";"751.3";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain or drizzle and snow, slight. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"18.2";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1500-2000";"";"";"10.0";"18.3";"";"";"";"";"";"";
"12.08.2017 17:30";"28.0";"745.7";"748.9";"";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1500-2000";"";"";"10.0";"27.7";"";"";"";"";"";"";
"12.08.2017 08:30";"18.4";"748.4";"751.7";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain or drizzle and snow, slight. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"18.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"10.0";"18.1";"";"";"";"";"";"";
"11.08.2017 17:30";"28.2";"745.9";"749.1";"";"98";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.9";"";"";"";"";"";"";
"11.08.2017 08:30";"18.8";"748.2";"751.5";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"19.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"";"10.0";"18.5";"";"";"";"";"";"";
"10.08.2017 17:30";"28.8";"745.6";"748.8";"";"97";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.3";"";"";"";"";"";"";
"10.08.2017 08:30";"19.2";"748.3";"751.6";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, freezing, slight. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"20.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.9";"";"";"";"";"";"";
"09.08.2017 17:30";"29.6";"744.9";"748.1";"";"97";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.1";"";"";"";"";"";"";
"09.08.2017 08:30";"20.4";"747.4";"750.7";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"19.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.8";"";"";"";"";"";"";
"08.08.2017 17:30";"29.6";"745.5";"748.7";"";"97";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.1";"";"";"";"";"";"";
"08.08.2017 08:30";"21.6";"745.1";"748.4";"";"89";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"19.7";"";"";"";"";"";"";
"07.08.2017 08:30";"20.4";"746.0";"749.3";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain, not freezing, intermittent, slight at time of observation. ";"";"";"20.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.8";"";"";"";"";"";"";
"06.08.2017 17:30";"32.6";"742.6";"745.8";"";"82";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"29.1";"";"";"";"";"";"";
"06.08.2017 08:30";"23.4";"744.4";"747.7";"";"95";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"23.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.5";"";"";"";"";"";"";
"05.08.2017 17:30";"32.4";"742.9";"746.1";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"29.2";"";"";"";"";"";"";
"05.08.2017 08:30";"22.8";"745.6";"748.9";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.2";"";"";"";"";"";"";
"04.08.2017 17:30";"31.8";"743.3";"746.5";"";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.1";"";"";"";"";"";"";
"04.08.2017 08:30";"22.2";"746.6";"749.9";"";"96";"Calm, no wind";"0";"";"";"50%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.6";"";"";"";"";"";"";
"03.08.2017 17:30";"33.0";"742.8";"746.0";"";"73";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.4";"Stratocumulus cumulogenitus.";"70 – 80%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.5";"";"";"";"";"";"";
"03.08.2017 08:30";"21.8";"746.8";"750.1";"";"93";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"21.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.6";"";"";"";"";"";"";
"02.08.2017 17:30";"28.6";"745.4";"748.6";"";"97";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.8";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.1";"";"";"";"";"";"";
"02.08.2017 08:30";"21.2";"746.7";"750.0";"";"95";"Calm, no wind";"0";"";"";"20–30%.";"Rain, not freezing, intermittent, heavy at time of observation. ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.3";"";"";"";"";"";"";
"01.08.2017 17:30";"29.2";"744.2";"747.4";"";"95";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.4";"";"";"";"";"";"";
"01.08.2017 08:30";"21.6";"746.5";"749.8";"";"96";"Calm, no wind";"0";"";"";"20–30%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.0";"";"";"";"";"";"";
"31.07.2017 08:30";"23.2";"743.8";"747.1";"";"95";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.3";"";"";"";"";"";"";
"30.07.2017 17:30";"30.6";"741.3";"744.5";"";"94";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.8";"Stratocumulus cumulogenitus.";"70 – 80%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.5";"";"";"";"";"";"";
"30.07.2017 08:30";"22.8";"745.0";"748.3";"";"93";"Calm, no wind";"0";"";"";"20–30%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.6";"";"";"";"";"";"";
"29.07.2017 08:30";"22.4";"745.8";"749.1";"";"95";"Calm, no wind";"0";"";"";"20–30%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.5";"";"";"";"";"";"";
"28.07.2017 17:30";"30.2";"742.5";"745.7";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.4";"";"";"";"";"";"";
"28.07.2017 08:30";"23.0";"744.0";"747.3";"";"93";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.8";"";"";"";"";"";"";
"27.07.2017 17:30";"30.6";"746.4";"749.6";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.3";"";"";"";"";"";"";
"27.07.2017 08:30";"22.6";"744.2";"747.5";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.8";"";"";"";"";"";"";
"26.07.2017 17:30";"31.0";"747.5";"750.7";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.8";"";"";"";"";"";"";
"26.07.2017 11:30";"20.0";"747.1";"750.4";"";"98";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain, not freezing, intermittent, heavy at time of observation. ";"";"";"19.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"19.7";"";"";"";"";"";"";
"26.07.2017 08:30";"20.0";"747.1";"750.4";"";"98";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain, not freezing, intermittent, heavy at time of observation. ";"";"";"19.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.7";"";"";"";"";"";"";
"25.07.2017 17:30";"29.4";"744.4";"747.6";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"1500-2000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.8";"";"";"";"";"";"";
"25.07.2017 08:30";"20.4";"747.3";"750.6";"";"96";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"20.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.8";"";"";"";"";"";"";
"24.07.2017 17:30";"28.6";"745.6";"748.8";"";"97";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"28.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"28.1";"";"";"";"";"";"";
"24.07.2017 08:30";"20.2";"746.7";"750.0";"";"95";"Calm, no wind";"0";"";"";"100%.";"Rain, freezing, slight. ";"";"";"20.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.3";"";"";"";"";"";"";
"23.07.2017 17:30";"29.6";"745.3";"748.5";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"30.2";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.0";"";"";"";"";"";"";
"23.07.2017 08:30";"19.0";"748.3";"751.6";"";"94";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain, not freezing, intermittent, heavy at time of observation. ";"";"";"19.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.0";"";"";"";"";"";"";
"22.07.2017 17:30";"30.2";"746.0";"749.2";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"26.9";"";"";"";"";"";"";
"22.07.2017 08:30";"19.0";"747.4";"750.7";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, freezing, slight. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"19.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"1000-1500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.7";"";"";"";"";"";"";
"21.07.2017 17:30";"30.6";"745.8";"749.0";"";"77";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"26.1";"";"";"";"";"";"";
"21.07.2017 08:30";"21.2";"745.2";"748.5";"";"89";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"20.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.3";"";"";"";"";"";"";
"20.07.2017 17:30";"32.2";"744.0";"747.2";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"32.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"29.2";"";"";"";"";"";"";
"20.07.2017 08:30";"20.6";"746.5";"749.8";"";"85";"Calm, no wind";"0";"";"";"20–30%.";"Rain, not freezing, intermittent, heavy at time of observation. ";"";"";"20.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.0";"";"";"";"";"";"";
"19.07.2017 17:30";"29.8";"747.2";"750.4";"";"86";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.3";"";"";"";"";"";"";
"19.07.2017 08:30";"20.2";"746.0";"749.3";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain, freezing, slight. ";"";"";"19.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.6";"";"";"";"";"";"";
"18.07.2017 17:30";"30.2";"741.5";"744.7";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.7";"";"";"";"";"";"";
"18.07.2017 08:30";"23.6";"";"747.7";"";"95";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.7";"";"";"";"";"";"";
"17.07.2017 08:30";"22.6";"";"748.4";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.0";"";"";"";"";"";"";
"16.07.2017 08:30";"23.4";"";"748.8";"";"96";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"22.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.8";"";"";"";"";"";"";
"15.07.2017 08:30";"22.8";"";"747.4";"";"95";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"21.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"21.9";"";"";"";"";"";"";
"14.07.2017 08:30";"22.4";"";"749.6";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.5";"";"";"";"";"";"";
"13.07.2017 17:30";"32.6";"";"749.5";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"28.8";"";"";"";"";"";"";
"13.07.2017 08:30";"21.0";"";"749.1";"";"93";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"19.8";"";"";"";"";"";"";
"12.07.2017 17:30";"30.2";"";"751.5";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"27.2";"";"";"";"";"";"";
"12.07.2017 08:30";"20.6";"";"749.9";"";"95";"Calm, no wind";"0";"";"";"50%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"";"";"20.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.7";"";"";"";"";"";"";
"11.07.2017 17:30";"28.4";"";"747.4";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"1500-2000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.6";"";"";"";"";"";"";
"11.07.2017 08:30";"19.6";"747.3";"750.6";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, freezing, slight. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"19.2";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"1000-1500";"";"";"10.0";"19.3";"";"";"";"";"";"";
"10.07.2017 08:30";"20.4";"746.9";"750.2";"";"92";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"20.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"100%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"";"10.0";"19.1";"";"";"";"";"";"";
