# Weather station Silchar, India, WMO_ID=42619,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42619&lang=en
#
"Local time in Silchar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"04.05.2017 05:30";"23.0";"756.0";"757.8";"";"95";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.1";"";"";"";"";"";"";
"03.05.2017 17:30";"31.8";"754.7";"756.5";"-0.5";"64";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"35.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"03.05.2017 14:30";"34.0";"755.2";"757.0";"-1.6";"58";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.7";"";"";"";"";"";"";
"03.05.2017 11:30";"32.0";"756.8";"758.6";"-1.1";"63";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"03.05.2017 08:30";"27.2";"757.9";"759.7";"0.8";"81";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.8";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"03.05.2017 05:30";"22.6";"757.1";"758.9";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"22.0";"";"";"";"";"";"";
"02.05.2017 14:30";"32.4";"755.3";"757.1";"-1.7";"59";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"02.05.2017 11:30";"30.6";"757.0";"758.8";"-0.9";"59";"Wind blowing from the east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"02.05.2017 08:30";"27.4";"757.9";"759.7";"0.5";"74";"Wind blowing from the south-east";"2";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"02.05.2017 05:30";"21.8";"757.4";"759.2";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"21.2";"";"";"";"";"";"";
"01.05.2017 17:30";"30.8";"754.7";"756.5";"-1.0";"67";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"01.05.2017 14:30";"33.2";"755.7";"757.5";"-1.1";"56";"Wind blowing from the north-west";"3";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"01.05.2017 11:30";"31.0";"756.8";"758.6";"-1.0";"62";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"01.05.2017 08:30";"26.8";"757.8";"759.6";"0.5";"74";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"20.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"01.05.2017 05:30";"21.2";"757.3";"759.1";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.3";"";"";"";"";"";"";
"30.04.2017 17:30";"31.0";"753.4";"755.2";"-0.8";"75";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"30.04.2017 14:30";"33.0";"754.2";"756.0";"-1.9";"63";"Wind blowing from the north-east";"1";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"30.04.2017 11:30";"31.8";"756.1";"757.9";"-0.9";"64";"Wind blowing from the south-west";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"30.04.2017 08:30";"27.2";"757.0";"758.8";"1.2";"83";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"30.04.2017 05:30";"21.8";"755.8";"757.6";"";"98";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.5";"";"";"";"";"";"";
"29.04.2017 17:30";"30.0";"753.6";"755.4";"-0.9";"75";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"33.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.2";"";"";"";"";"";"";
"29.04.2017 14:30";"32.8";"754.5";"756.3";"-1.9";"56";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"29.04.2017 11:30";"30.0";"756.4";"758.2";"-1.4";"62";"Wind blowing from the north-west";"1";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.0";"";"";"";"";"";"";
"29.04.2017 08:30";"25.2";"757.8";"759.6";"1.5";"78";"Wind blowing from the north-east";"2";"";"";"60%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"29.04.2017 05:30";"20.0";"756.3";"758.2";"";"";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"";"";"";"";"";"";"";
"28.04.2017 17:30";"26.4";"753.0";"754.8";"-1.2";"80";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"30.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"28.04.2017 14:30";"29.4";"754.2";"756.0";"-2.4";"62";"Wind blowing from the north";"4";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"28.04.2017 11:30";"27.2";"756.6";"758.4";"-0.8";"70";"Wind blowing from the north-east";"3";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"28.04.2017 08:30";"24.8";"757.4";"759.2";"2.0";"89";"Wind blowing from the north-east";"3";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.8";"";"";"";"";"";"";
"28.04.2017 05:30";"22.6";"755.4";"757.2";"";"98";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.3";"";"";"";"";"";"";
"27.04.2017 17:30";"26.6";"753.7";"755.5";"-0.8";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"28.8";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"27.04.2017 14:30";"28.2";"754.5";"756.3";"-1.7";"79";"Wind blowing from the south-east";"3";"";"";"60%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.2";"";"";"";"";"";"";
"27.04.2017 11:30";"26.2";"756.2";"758.0";"-0.3";"86";"Wind blowing from the north-east";"3";"";"";"60%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"27.04.2017 08:30";"25.2";"756.5";"758.3";"1.2";"90";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"27.04.2017 05:30";"22.6";"755.3";"757.1";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.0";"";"";"";"";"";"";
"26.04.2017 17:30";"23.4";"753.1";"754.9";"0.3";"96";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"31.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"26.04.2017 14:30";"30.4";"752.8";"754.6";"-1.8";"74";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.3";"";"";"";"";"";"";
"26.04.2017 11:30";"27.4";"754.6";"756.4";"-0.4";"84";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"26.04.2017 08:30";"23.4";"755.0";"756.8";"1.6";"98";"Wind blowing from the south-east";"2";"19";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"21.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.1";"";"";"";"";"";"";
"26.04.2017 05:30";"22.4";"753.4";"755.2";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.8";"";"";"";"";"";"";
"25.04.2017 17:30";"22.2";"751.0";"752.8";"-0.9";"100";"Wind blowing from the south-east";"2";"19";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"27.1";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.2";"";"";"";"";"";"";
"25.04.2017 14:30";"26.6";"751.9";"753.7";"-2.1";"90";"Wind blowing from the south-east";"3";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"25.04.2017 11:30";"24.4";"754.0";"755.8";"-0.8";"95";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.5";"";"";"";"";"";"";
"25.04.2017 08:30";"22.6";"754.8";"756.6";"1.1";"98";"Wind blowing from the east";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"20.6";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.3";"";"";"";"";"";"";
"25.04.2017 05:30";"21.2";"753.7";"755.5";"";"98";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.9";"";"";"";"";"";"";
"24.04.2017 17:30";"24.2";"753.1";"754.9";"-0.3";"87";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"25.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"24.04.2017 14:30";"23.2";"753.4";"755.2";"-1.8";"95";"Wind blowing from the south";"3";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.3";"";"";"";"";"";"";
"24.04.2017 11:30";"23.6";"755.2";"757.0";"0.0";"98";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"24.04.2017 08:30";"24.4";"755.2";"757.0";"1.9";"93";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"24.04.2017 05:30";"21.6";"753.3";"755.1";"";"98";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.3";"";"";"";"";"";"";
"23.04.2017 17:30";"23.6";"752.5";"754.3";"-1.0";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"24.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"23.04.2017 14:30";"24.2";"753.5";"755.3";"-2.0";"93";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.0";"";"";"";"";"";"";
"23.04.2017 11:30";"24.2";"755.5";"757.3";"-0.8";"90";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"23.04.2017 08:30";"22.0";"756.3";"758.1";"2.1";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"21.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.0";"";"";"";"";"";"";
"23.04.2017 05:30";"22.0";"754.2";"756.0";"";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.0";"";"";"";"";"";"";
"22.04.2017 17:30";"24.2";"752.3";"754.1";"-0.6";"90";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"27.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"22.04.2017 14:30";"25.0";"752.9";"754.7";"-1.1";"91";"Wind blowing from the south-east";"3";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.5";"";"";"";"";"";"";
"22.04.2017 11:30";"27.0";"754.0";"755.8";"-1.8";"83";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.8";"";"";"";"";"";"";
"22.04.2017 08:30";"24.2";"755.8";"757.6";"1.2";"95";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.6";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"22.04.2017 05:30";"22.2";"754.6";"756.4";"";"98";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.9";"";"";"";"";"";"";
"21.04.2017 17:30";"23.0";"753.7";"755.5";"1.1";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"24.9";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.0";"";"";"";"";"";"";
