# Weather station Paramati, India, WMO_ID=43342,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43342&lang=en
#
"Local time in Paramati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.07.2017 17:30";"30.8";"738.1";"753.1";"";"80";"Wind blowing from the south-southwest";"3";"";"";"no clouds";" ";"";"";"";"35.5";"";"";"";"";"";"10.0";"26.9";"";"";"";"";"";"";
"18.07.2017 08:30";"28.4";"739.9";"755.1";"";"82";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"17.07.2017 17:30";"33.0";"737.1";"752.0";"";"67";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"17.07.2017 08:30";"30.2";"739.8";"754.9";"";"81";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"16.07.2017 17:30";"32.0";"738.5";"";"";"69";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"36.6";"";"";"";"";"";"10.0";"25.5";"";"";"";"";"";"";
"16.07.2017 08:30";"28.4";"740.9";"756.1";"";"78";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"25.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.1";"";"";"";"";"";"";
"15.07.2017 17:30";"32.6";"738.8";"753.7";"";"67";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"36.8";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"15.07.2017 08:30";"26.0";"740.8";"756.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"14.07.2017 17:30";"34.4";"738.9";"753.8";"";"42";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"37.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"14.07.2017 08:30";"25.4";"741.3";"756.7";"";"88";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"23.3";"";"";"";"";"";"";
"13.07.2017 17:30";"33.4";"739.0";"754.3";"";"59";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"13.07.2017 08:30";"27.0";"740.8";"756.1";"";"87";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"12.07.2017 17:30";"31.6";"739.0";"754.1";"";"68";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"34.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.1";"";"";"";"";"";"";
"12.07.2017 08:30";"28.0";"741.3";"756.6";"";"85";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.2";"";"";"";"";"";"";
"11.07.2017 17:30";"33.0";"739.5";"754.5";"";"63";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"37.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.1";"";"";"";"";"";"";
"11.07.2017 08:30";"29.2";"741.8";"757.0";"";"76";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"25.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"10.07.2017 17:30";"35.2";"738.5";"753.3";"";"59";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"38.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"10.07.2017 08:30";"27.2";"742.3";"757.6";"";"86";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"25.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.6";"";"";"";"";"";"";
"09.07.2017 17:30";"34.4";"738.1";"752.9";"";"59";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"36.6";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"09.07.2017 08:30";"29.2";"740.9";"756.1";"";"72";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"25.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.7";"";"";"";"";"";"";
"08.07.2017 17:30";"31.0";"738.7";"753.7";"";"72";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"37.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.4";"";"";"";"";"";"";
"08.07.2017 08:30";"28.0";"741.6";"756.9";"";"80";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"25.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.3";"";"";"";"";"";"";
"07.07.2017 17:30";"33.4";"738.7";"753.6";"";"61";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"07.07.2017 08:30";"29.2";"741.1";"756.3";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"06.07.2017 17:30";"33.4";"738.7";"753.7";"";"62";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"06.07.2017 08:30";"29.6";"742.3";"757.4";"";"75";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"24.8";"";"";"";"";"";"";
"05.07.2017 17:30";"35.0";"738.5";"753.4";"";"56";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"37.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.9";"";"";"";"";"";"";
"05.07.2017 08:30";"28.6";"741.7";"756.9";"";"83";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"10.0";"25.5";"";"";"";"";"";"";
"04.07.2017 17:30";"35.0";"738.5";"753.4";"";"62";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"38.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.7";"";"";"";"";"";"";
"04.07.2017 08:30";"29.2";"741.7";"756.8";"";"79";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"03.07.2017 17:30";"33.4";"738.6";"753.5";"";"62";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"03.07.2017 08:30";"29.6";"741.0";"756.1";"";"70";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.5";"";"";"";"";"";"";
"02.07.2017 17:30";"33.8";"737.8";"752.8";"";"63";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"37.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.7";"";"";"";"";"";"";
"02.07.2017 08:30";"28.2";"740.2";"755.4";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"01.07.2017 17:30";"33.0";"737.5";"752.4";"";"58";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"37.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"01.07.2017 08:30";"29.4";"739.7";"754.9";"";"75";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.5";"";"";"";"";"";"";
"30.06.2017 17:30";"33.0";"737.5";"752.5";"";"52";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"37.4";"";"";"";"";"";"10.0";"21.9";"";"";"";"";"";"";
"30.06.2017 08:30";"29.2";"739.9";"755.0";"";"72";"Wind blowing from the south-southwest";"2";"";"";"40%.";" ";"";"";"25.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.7";"";"";"";"";"";"";
"29.06.2017 17:30";"34.4";"738.9";"753.8";"";"42";"Wind blowing from the south-southwest";"3";"";"";"70 – 80%.";" ";"";"";"";"37.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"29.06.2017 08:30";"30.0";"741.4";"756.6";"";"62";"Wind blowing from the south-southwest";"2";"";"";"40%.";" ";"";"";"26.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.0";"";"";"";"";"";"";
"28.06.2017 08:30";"27.0";"741.1";"756.4";"";"72";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"27.06.2017 17:30";"28.6";"735.4";"755.1";"";"69";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"27.06.2017 08:30";"27.2";"740.2";"755.5";"";"63";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"29.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.5";"";"";"";"";"";"";
"26.06.2017 17:30";"32.6";"737.8";"752.8";"";"69";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"26.06.2017 08:30";"28.4";"739.3";"754.6";"";"82";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"25.06.2017 17:30";"30.4";"737.0";"752.1";"";"86";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"10.0";"27.7";"";"";"";"";"";"";
"25.06.2017 08:30";"28.2";"738.7";"753.7";"";"83";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"26.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.1";"";"";"";"";"";"";
"24.06.2017 17:30";"31.6";"737.5";"752.5";"";"82";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"37.2";"";"";"";"";"";"10.0";"28.1";"";"";"";"";"";"";
"24.06.2017 08:30";"28.6";"739.3";"754.5";"";"80";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"23.06.2017 17:30";"35.0";"739.8";"754.7";"";"59";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"38.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.8";"";"";"";"";"";"";
"23.06.2017 08:30";"31.0";"740.9";"756.1";"";"62";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"22.06.2017 17:30";"34.4";"738.4";"753.2";"";"62";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"38.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"22.06.2017 08:30";"29.4";"741.0";"756.1";"";"82";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"26.0";"";"";"";"";"";"";
"21.06.2017 17:30";"33.4";"739.0";"754.0";"";"65";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"37.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.9";"";"";"";"";"";"";
"21.06.2017 08:30";"29.0";"741.4";"756.7";"";"74";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.8";"";"";"";"";"";"";
"20.06.2017 17:30";"34.4";"737.9";"752.8";"";"62";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"37.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.1";"";"";"";"";"";"";
"20.06.2017 08:30";"29.0";"740.8";"756.1";"";"74";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"23.8";"";"";"";"";"";"";
"19.06.2017 17:30";"34.0";"737.3";"752.2";"";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"39.6";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"19.06.2017 08:30";"30.2";"740.5";"755.7";"";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"18.06.2017 17:30";"37.6";"736.9";"751.6";"";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"39.5";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"18.06.2017 08:30";"30.0";"740.4";"755.5";"";"74";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"17.06.2017 17:30";"36.0";"738.1";"753.0";"";"42";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"10.0";"21.3";"";"";"";"";"";"";
"17.06.2017 08:30";"30.0";"741.0";"756.1";"";"78";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.8";"";"";"";"";"";"";
"16.06.2017 17:30";"35.0";"738.4";"753.4";"";"57";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"16.06.2017 08:30";"29.6";"740.7";"755.8";"";"71";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"27.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.8";"";"";"";"";"";"";
"15.06.2017 17:30";"34.4";"738.1";"753.0";"";"56";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"15.06.2017 08:30";"30.4";"741.1";"756.3";"";"76";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"14.06.2017 17:30";"35.4";"737.9";"752.7";"";"50";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"38.6";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"14.06.2017 08:30";"30.6";"740.3";"755.5";"";"68";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"26.8";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.0";"";"";"";"";"";"";
"13.06.2017 17:30";"31.0";"737.8";"752.9";"";"59";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"10.0";"22.2";"";"";"";"";"";"";
"13.06.2017 08:30";"28.4";"740.0";"755.2";"";"72";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"22.8";"";"";"";"";"";"";
"12.06.2017 17:30";"31.6";"739.0";"754.1";"";"56";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"34.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.9";"";"";"";"";"";"";
"12.06.2017 08:30";"29.2";"740.8";"755.9";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"22.1";"";"";"";"";"";"";
"11.06.2017 17:30";"30.6";"739.0";"754.1";"";"58";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.4";"";"";"";"";"";"";
"11.06.2017 08:30";"28.4";"740.8";"756.0";"";"68";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"21.9";"";"";"";"";"";"";
"10.06.2017 17:30";"30.2";"738.4";"753.5";"";"58";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.9";"";"";"";"";"";"";
"10.06.2017 08:30";"29.2";"740.2";"755.3";"";"66";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"26.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.1";"";"";"";"";"";"";
"09.06.2017 17:30";"33.6";"738.9";"753.9";"";"44";"Wind blowing from the south-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"36.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.7";"";"";"";"";"";"";
"09.06.2017 08:30";"28.4";"740.2";"755.5";"";"68";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.9";"";"";"";"";"";"";
"08.06.2017 17:30";"32.2";"738.5";"753.4";"";"54";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"36.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"1000-1500";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.6";"";"";"";"";"";"";
"08.06.2017 08:30";"29.4";"742.1";"757.3";"";"78";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"07.06.2017 17:30";"25.2";"740.5";"755.8";"";"90";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"35.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.4";"";"";"";"";"";"";
"07.06.2017 08:30";"28.4";"742.6";"757.8";"";"72";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"26.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.8";"";"";"";"";"";"";
"06.06.2017 17:30";"34.0";"738.6";"753.5";"";"47";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"38.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.3";"";"";"";"";"";"";
"06.06.2017 08:30";"30.0";"742.0";"757.2";"";"74";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
