# Weather station Udgir, India, WMO_ID=43076,selection from 03.08.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43076&lang=en
#
"Local time in Udgir";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.09.2017 08:30";"23.8";"698.2";"751.5";"";"80";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.2";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"20.2";"";"";"";"";"";"";
"17.09.2017 17:30";"24.4";"695.6";"748.5";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.4";"";"";"";"";"";"";
"17.09.2017 08:30";"25.4";"697.8";"750.7";"";"83";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"21.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.2";"";"";"";"";"";"";
"16.09.2017 08:30";"25.0";"698.3";"751.3";"";"86";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"21.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"22.4";"";"";"";"";"";"";
"15.09.2017 17:30";"26.8";"696.6";"749.2";"";"71";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"28.8";"Stratocumulus cumulogenitus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"21.0";"";"";"";"";"";"";
"15.09.2017 08:30";"23.2";"698.8";"752.2";"";"83";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"20.6";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"20.2";"";"";"";"";"";"";
"14.09.2017 17:30";"27.4";"696.7";"749.2";"";"76";"Wind blowing from the south";"1";"";"";"100%.";" ";"";"";"";"30.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.8";"";"";"";"";"";"";
"14.09.2017 08:30";"22.8";"699.5";"753.0";"";"88";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"21.4";"";"Stratocumulus cumulogenitus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"20.7";"";"";"";"";"";"";
"13.09.2017 08:30";"22.6";"700.1";"753.7";"";"86";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"20.2";"";"";"";"";"";"";
"12.09.2017 17:30";"30.6";"698.6";"750.7";"";"74";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"31.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"25.4";"";"";"";"";"";"";
"12.09.2017 08:30";"27.6";"700.3";"753.0";"";"79";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"22.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"23.7";"";"";"";"";"";"";
"11.09.2017 17:30";"30.4";"698.6";"750.7";"";"74";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"31.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"25.2";"";"";"";"";"";"";
"11.09.2017 08:30";"27.0";"699.4";"752.2";"";"82";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"22.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"23.6";"";"";"";"";"";"";
"10.09.2017 17:30";"30.2";"697.2";"749.2";"";"74";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"31.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"25.0";"";"";"";"";"";"";
"10.09.2017 08:30";"26.2";"699.0";"751.9";"";"86";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"22.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"23.7";"";"";"";"";"";"";
"09.09.2017 17:30";"27.4";"697.1";"749.6";"";"85";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"31.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"24.6";"";"";"";"";"";"";
"09.09.2017 08:30";"25.4";"698.5";"751.5";"";"89";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"20.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"23.4";"";"";"";"";"";"";
"08.09.2017 17:30";"29.2";"697.0";"749.2";"";"73";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"30.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"23.8";"";"";"";"";"";"";
"08.09.2017 08:30";"25.2";"699.1";"752.2";"";"89";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"20.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"23.2";"";"";"";"";"";"";
"07.09.2017 17:30";"29.2";"697.0";"749.2";"";"67";"Wind blowing from the north";"1";"";"";"100%.";" ";"";"";"";"30.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"22.4";"";"";"";"";"";"";
"07.09.2017 08:30";"26.0";"699.3";"752.2";"";"85";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"23.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"23.2";"";"";"";"";"";"";
"06.09.2017 17:30";"28.2";"697.6";"750.0";"";"71";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"22.5";"";"";"";"";"";"";
"06.09.2017 08:30";"25.0";"699.1";"752.2";"";"84";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.1";"";"";"";"";"";"";
"05.09.2017 17:30";"29.8";"698.5";"750.7";"";"57";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"30.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2000-2500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"20.5";"";"";"";"";"";"";
"05.09.2017 08:30";"24.8";"699.8";"753.0";"";"87";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"22.5";"";"";"";"";"";"";
"04.09.2017 17:30";"28.2";"698.2";"750.7";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"30.2";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.8";"";"";"";"";"";"";
"04.09.2017 08:30";"25.2";"699.9";"753.0";"";"87";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"22.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"10.0";"22.9";"";"";"";"";"";"";
"03.09.2017 17:30";"30.4";"698.3";"750.4";"";"70";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"03.09.2017 08:30";"30.2";"700.0";"752.2";"";"63";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"22.2";"";"";"";"";"";"";"10.0";"22.5";"";"";"";"";"";"";
"02.09.2017 17:30";"30.2";"697.9";"750.0";"";"63";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"22.5";"";"";"";"";"";"";
"02.09.2017 08:30";"25.2";"699.1";"752.2";"";"78";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"21.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"21.1";"";"";"";"";"";"";
"01.09.2017 17:30";"29.8";"698.5";"750.7";"";"61";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"21.4";"";"";"";"";"";"";
"31.08.2017 17:30";"29.8";"697.9";"750.0";"";"61";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"21.4";"";"";"";"";"";"";
"31.08.2017 08:30";"24.8";"698.4";"751.5";"";"84";"Wind blowing from the south-west";"2";"";"";"40%.";" ";"";"";"20.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"21.9";"";"";"";"";"";"";
"30.08.2017 17:30";"29.4";"696.4";"748.5";"";"69";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.";"10.0";"23.2";"";"";"";"";"";"";
"30.08.2017 08:30";"24.2";"696.2";"749.2";"";"87";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"21.2";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"21.9";"";"";"";"";"";"";
"29.08.2017 17:30";"26.2";"692.3";"744.7";"";"76";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"27.2";"Stratocumulus cumulogenitus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"21.6";"";"";"";"";"";"";
"29.08.2017 08:30";"24.2";"694.1";"747.0";"";"85";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"21.6";"";"";"";"";"";"";
"28.08.2017 17:30";"26.8";"691.8";"744.0";"";"82";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"27.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"23.4";"";"";"";"";"";"";
"28.08.2017 08:30";"23.4";"694.0";"747.0";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.6";"";"Stratocumulus cumulogenitus.";"40%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"21.9";"";"";"";"";"";"";
"27.08.2017 17:30";"28.4";"693.4";"745.5";"";"75";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"";"29.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"2000-2500";"Altostratus translucidus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"23.6";"";"";"";"";"";"";
"27.08.2017 08:30";"24.8";"694.2";"747.0";"";"87";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"21.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"10.0";"22.5";"";"";"";"";"";"";
"26.08.2017 17:30";"26.0";"693.7";"746.2";"";"82";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"28.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"22.6";"";"";"";"";"";"";
"26.08.2017 08:30";"23.0";"694.6";"747.7";"";"95";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.0";"";"Stratocumulus cumulogenitus.";"40%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.1";"";"";"";"";"";"";
"25.08.2017 17:30";"27.2";"695.3";"747.7";"";"76";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"29.2";"Stratocumulus cumulogenitus.";"40%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"22.6";"";"";"";"";"";"";
"23.08.2017 17:30";"28.2";"696.2";"748.5";"";"69";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"";"29.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.9";"";"";"";"";"";"";
"23.08.2017 08:30";"25.0";"697.7";"750.7";"";"86";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"20.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"22.4";"";"";"";"";"";"";
"22.08.2017 17:30";"28.8";"694.9";"747.0";"";"70";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"29.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"22.8";"";"";"";"";"";"";
"22.08.2017 08:30";"25.0";"694.1";"746.8";"";"81";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"20.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"21.5";"";"";"";"";"";"";
"21.08.2017 17:30";"25.0";"694.1";"746.8";"";"81";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"25.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"";"10.0";"21.5";"";"";"";"";"";"";
"21.08.2017 08:30";"21.0";"694.2";"747.7";"";"94";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"17.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"20.0";"";"";"";"";"";"";
"20.08.2017 08:30";"21.0";"693.2";"746.6";"";"95";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"19.6";"";"Stratocumulus cumulogenitus.";"100%.";"2000-2500";"";"";"4.0";"20.1";"";"";"";"";"";"";
"19.08.2017 17:30";"22.4";"693.8";"747.0";"";"91";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"26.6";"Stratocumulus cumulogenitus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"4.0";"20.9";"";"";"";"";"";"";
"19.08.2017 08:30";"23.6";"695.1";"748.2";"";"90";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.0";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"21.8";"";"";"";"";"";"";
"18.08.2017 17:30";"28.2";"694.8";"747.0";"";"63";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"20.6";"";"";"";"";"";"";
"18.08.2017 08:30";"24.2";"696.2";"749.2";"";"86";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"21.7";"";"";"";"";"";"";
"17.08.2017 17:30";"28.0";"695.4";"747.7";"";"65";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"20.7";"";"";"";"";"";"";
"16.08.2017 08:30";"24.6";"698.9";"752.1";"";"83";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"21.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"21.5";"";"";"";"";"";"";
"15.08.2017 17:30";"28.0";"698.1";"750.6";"";"77";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"28.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"23.5";"";"";"";"";"";"";
"15.08.2017 08:30";"24.8";"699.8";"753.0";"";"86";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"22.2";"";"";"";"";"";"";
"14.08.2017 17:30";"25.6";"698.5";"751.5";"";"83";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"27.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"22.4";"";"";"";"";"";"";
"14.08.2017 08:30";"23.0";"699.5";"753.0";"";"95";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"21.2";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"";"10.0";"22.1";"";"";"";"";"";"";
"13.08.2017 17:30";"29.4";"697.1";"749.2";"";"64";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"";"30.4";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"21.9";"";"";"";"";"";"";
"13.08.2017 08:30";"25.2";"699.1";"752.2";"";"80";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"21.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.4";"";"";"";"";"";"";
"12.08.2017 17:30";"30.0";"697.2";"749.2";"";"61";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"31.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"2000-2500";"Altostratus opacus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"21.7";"";"";"";"";"";"";
"12.08.2017 08:30";"25.2";"699.1";"752.2";"";"82";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.";"10.0";"22.0";"";"";"";"";"";"";
"11.08.2017 17:30";"29.8";"697.1";"749.2";"";"61";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"31.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"21.4";"";"";"";"";"";"";
"11.08.2017 08:30";"24.4";"698.3";"751.5";"";"89";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"20.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2000-2500";"Altocumulus castellanus or floccus.";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"10.0";"22.4";"";"";"";"";"";"";
"10.08.2017 17:30";"29.6";"697.1";"749.2";"";"64";"Wind blowing from the south-west";"2";"";"";"50%.";" ";"";"";"";"30.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"10.0";"22.2";"";"";"";"";"";"";
"09.08.2017 08:30";"24.8";"697.7";"750.7";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.6";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"60%.";"2000-2500";"Altocumulus castellanus or floccus.";"";"10.0";"22.8";"";"";"";"";"";"";
