# Weather station Wardha, India, WMO_ID=42939,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42939&lang=en
#
"Local time in Wardha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.08.2017 08:30";"26.6";"725.3";"749.2";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.2";"";"";"";"";"";"";
"27.08.2017 17:30";"28.5";"723.9";"747.6";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.0";"";"";"";"";"";"";
"27.08.2017 08:30";"26.7";"725.6";"749.5";"";"88";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"24.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.6";"";"";"";"";"";"";
"26.08.2017 17:30";"27.0";"725.4";"749.2";"";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"26.08.2017 08:30";"26.0";"727.2";"751.2";"";"92";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.6";"";"";"";"";"";"";
"25.08.2017 17:30";"28.5";"726.4";"750.1";"";"76";"Wind blowing from the west-southwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"32.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.8";"";"";"";"";"";"";
"25.08.2017 08:30";"25.5";"728.8";"752.9";"";"91";"Wind blowing from the west-northwest";"1";"";"";"50%.";" ";"";"";"23.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.9";"";"";"";"";"";"";
"24.08.2017 17:30";"29.0";"726.8";"750.5";"";"78";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.7";"";"";"";"";"";"";
"24.08.2017 08:30";"26.0";"729.9";"754.0";"";"90";"Wind blowing from the west-northwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.3";"";"";"";"";"";"";
"23.08.2017 17:30";"31.1";"728.6";"752.2";"";"72";"Wind blowing from the west-southwest";"1";"";"";"40%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.4";"";"";"";"";"";"";
"23.08.2017 08:30";"25.4";"731.2";"755.4";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.9";"";"";"";"";"";"";
"22.08.2017 17:30";"29.4";"726.8";"750.5";"";"71";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.6";"";"";"";"";"";"";
"22.08.2017 08:30";"24.5";"729.5";"753.7";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.2";"";"";"";"";"";"";
"21.08.2017 08:30";"23.5";"727.9";"752.1";"";"92";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.2";"";"";"";"";"";"";
"20.08.2017 17:30";"26.9";"724.2";"748.0";"";"93";"Wind blowing from the east-southeast";"2";"";"";"100%.";" ";"";"";"";"31.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.7";"";"";"";"";"";"";
"20.08.2017 08:30";"26.9";"726.0";"749.9";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.8";"";"";"";"";"";"";
"19.08.2017 17:30";"30.5";"724.5";"748.0";"";"75";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.6";"";"";"";"";"";"";
"19.08.2017 08:30";"25.4";"727.1";"751.1";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.5";"";"";"";"";"";"";
"18.08.2017 17:30";"30.0";"725.2";"748.8";"";"66";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"31.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.0";"";"";"";"";"";"";
"18.08.2017 08:30";"26.7";"728.5";"752.5";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.3";"";"";"";"";"";"";
"17.08.2017 17:30";"32.1";"726.2";"749.7";"";"54";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"21.7";"";"";"";"";"";"";
"17.08.2017 08:30";"26.2";"729.2";"753.2";"";"83";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.0";"";"";"";"";"";"";
"16.08.2017 17:30";"33.0";"727.7";"751.1";"";"55";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"16.08.2017 08:30";"26.4";"730.8";"754.9";"";"83";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"23.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"23.2";"";"";"";"";"";"";
"15.08.2017 17:30";"32.0";"729.0";"752.6";"";"60";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"34.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"15.08.2017 08:30";"25.6";"733.2";"757.4";"";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"23.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.6";"";"";"";"";"";"";
"14.08.2017 17:30";"30.1";"731.4";"755.2";"";"67";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.3";"";"";"";"";"";"";
"14.08.2017 08:30";"26.0";"733.7";"757.9";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.1";"";"";"";"";"";"";
"13.08.2017 17:30";"32.5";"729.8";"753.3";"";"52";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"33.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.5";"";"";"";"";"";"";
"13.08.2017 08:30";"27.1";"731.5";"755.5";"";"79";"Wind blowing from the west-northwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"24.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.2";"";"";"";"";"";"";
"12.08.2017 17:30";"31.7";"728.8";"752.4";"";"59";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.6";"";"";"";"";"";"";
"12.08.2017 08:30";"25.8";"731.4";"755.5";"";"82";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"22.5";"";"";"";"";"";"";
"11.08.2017 17:30";"32.1";"728.1";"751.6";"";"60";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.3";"";"";"";"";"";"";
"11.08.2017 08:30";"26.5";"730.4";"754.4";"";"84";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";" ";"";"";"24.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"23.5";"";"";"";"";"";"";
"10.08.2017 17:30";"31.9";"727.8";"751.3";"";"61";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"32.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.4";"";"";"";"";"";"";
"10.08.2017 08:30";"26.0";"729.9";"754.0";"";"89";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"24.0";"";"";"";"";"";"";
"09.08.2017 17:30";"30.0";"728.2";"751.9";"";"72";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"30.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"09.08.2017 08:30";"24.6";"730.0";"754.2";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"23.7";"";"";"";"";"";"";
"08.08.2017 17:30";"26.4";"727.8";"751.8";"";"92";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"27.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"25.0";"";"";"";"";"";"";
"08.08.2017 08:30";"24.6";"729.4";"753.6";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.7";"";"";"";"";"";"";
"07.08.2017 17:30";"26.5";"728.1";"752.1";"";"94";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"";"26.9";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.5";"";"";"";"";"";"";
"07.08.2017 08:30";"25.9";"728.7";"752.7";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.8";"";"";"";"";"";"";
"06.08.2017 17:30";"29.6";"726.5";"750.2";"";"69";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.2";"";"";"";"";"";"";
"06.08.2017 08:30";"25.2";"729.4";"753.5";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"22.5";"";"";"";"";"";"";
"05.08.2017 17:30";"30.0";"726.8";"750.4";"";"70";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"05.08.2017 08:30";"25.8";"727.7";"751.7";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.2";"";"";"";"";"";"";
"04.08.2017 17:30";"27.5";"726.0";"749.8";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"04.08.2017 08:30";"25.4";"729.3";"753.4";"";"91";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"23.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.9";"";"";"";"";"";"";
"03.08.2017 17:30";"30.2";"727.1";"750.7";"";"64";"Wind blowing from the west";"3";"";"";"50%.";" ";"";"";"";"33.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.6";"";"";"";"";"";"";
"03.08.2017 08:30";"27.1";"730.0";"754.0";"";"81";"Wind blowing from the west";"2";"";"";"10%  or less, but not 0";" ";"";"";"24.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.5";"";"";"";"";"";"";
"02.08.2017 17:30";"32.6";"728.1";"751.6";"";"57";"Wind blowing from the west";"2";"";"";"40%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.1";"";"";"";"";"";"";
"02.08.2017 08:30";"26.7";"731.1";"755.1";"";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"24.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"01.08.2017 08:30";"26.8";"730.9";"754.9";"";"84";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"25.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"31.07.2017 17:30";"32.6";"728.6";"752.1";"";"59";"Wind blowing from the west-southwest";"1";"";"";"20–30%.";" ";"";"";"";"33.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.7";"";"";"";"";"";"";
"31.07.2017 08:30";"27.5";"731.6";"755.6";"";"81";"Wind blowing from the west-southwest";"1";"";"";"20–30%.";" ";"";"";"24.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.9";"";"";"";"";"";"";
"30.07.2017 17:30";"30.7";"728.9";"752.5";"";"67";"Wind blowing from the west";"1";"";"";"60%.";" ";"";"";"";"33.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.0";"";"";"";"";"";"";
"30.07.2017 08:30";"26.2";"731.1";"755.2";"";"90";"Wind blowing from the west-northwest";"1";"";"";"20–30%.";" ";"";"";"23.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.5";"";"";"";"";"";"";
"29.07.2017 17:30";"32.6";"729.0";"752.5";"";"59";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"34.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.7";"";"";"";"";"";"";
"29.07.2017 08:30";"25.8";"731.8";"755.9";"";"86";"Wind blowing from the west-northwest";"2";"";"";"20–30%.";" ";"";"";"22.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"28.07.2017 17:30";"28.6";"728.7";"752.5";"";"83";"Wind blowing from the west-northwest";"1";"";"";"60%.";" ";"";"";"";"30.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.5";"";"";"";"";"";"";
"28.07.2017 08:30";"25.4";"729.9";"754.0";"";"88";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"24.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.3";"";"";"";"";"";"";
"27.07.2017 17:30";"27.5";"727.4";"751.3";"";"84";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"28.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.5";"";"";"";"";"";"";
"27.07.2017 08:30";"24.8";"729.0";"753.1";"";"90";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.0";"";"";"";"";"";"";
"26.07.2017 17:30";"27.6";"726.3";"750.1";"";"83";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"27.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.4";"";"";"";"";"";"";
"26.07.2017 11:30";"24.0";"727.8";"752.0";"";"95";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"23.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"";"Altostratus opacus or Nimbostratus.";"";"";"23.1";"";"";"";"";"";"";
"26.07.2017 08:30";"24.0";"727.8";"752.0";"";"95";"Wind blowing from the west";"1";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"23.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"23.1";"";"";"";"";"";"";
"25.07.2017 17:30";"24.8";"727.3";"751.4";"";"90";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"23.0";"";"";"";"";"";"";
"25.07.2017 08:30";"25.5";"727.5";"751.5";"";"88";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"23.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"23.3";"";"";"";"";"";"";
"24.07.2017 17:30";"24.0";"726.6";"750.7";"";"91";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"1.0";"22.5";"";"";"";"";"";"";
"24.07.2017 08:30";"26.0";"727.9";"751.9";"";"86";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"24.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"23.4";"";"";"";"";"";"";
"23.07.2017 17:30";"31.0";"725.3";"748.8";"";"66";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"31.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.8";"";"";"";"";"";"";
"23.07.2017 08:30";"26.1";"727.4";"751.4";"";"85";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"24.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.4";"";"";"";"";"";"";
"22.07.2017 17:30";"30.5";"725.2";"748.7";"";"69";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"31.9";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.1";"";"";"";"";"";"";
