# Weather station Shillong, India, WMO_ID=42516,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42516&lang=en
#
"Local time in Shillong";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"10.10.2017 08:30";"23.0";"631.3";"";"1.1";"72";"Wind blowing from the south-east";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.6";"";"";"";"";"";"";
"10.10.2017 05:30";"16.6";"630.2";"";"";"90";"Wind blowing from the south-east";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.0";"";"";"";"";"";"";
"09.10.2017 20:30";"18.8";"630.8";"";"1.1";"95";"Wind blowing from the north-east";"1";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.9";"";"";"";"";"";"";
"09.10.2017 17:30";"21.0";"629.7";"";"-0.1";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"23.4";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"19.5";"";"";"";"";"";"";
"09.10.2017 14:30";"22.2";"629.8";"";"-1.0";"82";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.9";"";"";"";"";"";"";
"09.10.2017 11:30";"22.6";"630.8";"";"-0.2";"78";"Wind blowing from the east";"1";"";"";"70 – 80%.";"Haze. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.5";"";"";"";"";"";"";
"09.10.2017 08:30";"21.8";"631.0";"";"0.9";"77";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.0";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.6";"";"";"";"";"";"";
"09.10.2017 05:30";"17.8";"630.1";"";"";"96";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.2";"";"";"";"";"";"";
"08.10.2017 20:30";"18.2";"631.0";"";"1.9";"93";"Calm, no wind";"0";"";"";"50%.";"Lightning visible, no thunder heard. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.0";"";"";"";"";"";"";
"08.10.2017 17:30";"20.4";"629.1";"";"-0.1";"78";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"25.0";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.4";"";"";"";"";"";"";
"08.10.2017 14:30";"24.6";"629.2";"";"-1.1";"65";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.5";"";"";"";"";"";"";
"08.10.2017 11:30";"23.4";"630.3";"";"-0.6";"67";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.8";"";"";"";"";"";"";
"08.10.2017 08:30";"20.8";"630.9";"";"";"80";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.5";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.2";"";"";"";"";"";"";
"08.10.2017 05:30";"17.2";"";"";"";"98";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"07.10.2017 20:30";"18.2";"630.1";"";"1.2";"87";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.0";"";"";"";"";"";"";
"07.10.2017 17:30";"20.4";"628.9";"";"-0.5";"91";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.5";"Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.9";"";"";"";"";"";"";
"07.10.2017 14:30";"21.8";"629.4";"";"-1.9";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.6";"";"";"";"";"";"";
"07.10.2017 11:30";"22.6";"631.3";"";"-0.7";"85";"Wind blowing from the north-west";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"07.10.2017 08:30";"23.4";"632.0";"";"1.1";"69";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.9";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"07.10.2017 05:30";"17.4";"630.9";"";"";"98";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.1";"";"";"";"";"";"";
"06.10.2017 20:30";"19.4";"631.3";"";"1.3";"82";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.3";"";"";"";"";"";"";
"06.10.2017 17:30";"20.8";"630.0";"";"0.3";"77";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"27.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.5";"";"";"";"";"";"";
"06.10.2017 14:30";"23.2";"629.7";"";"-1.7";"77";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.0";"";"";"";"";"";"";
"06.10.2017 11:30";"26.4";"631.4";"";"-0.1";"60";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.9";"";"";"";"";"";"";
"06.10.2017 08:30";"23.6";"631.5";"";"0.5";"71";"Wind blowing from the east";"1";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"15.2";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"06.10.2017 05:30";"18.0";"631.0";"";"";"96";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"05.10.2017 20:30";"20.2";"630.2";"";"0.4";"91";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.7";"";"";"";"";"";"";
"05.10.2017 17:30";"21.0";"629.8";"";"0.3";"91";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"26.4";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.5";"";"";"";"";"";"";
"05.10.2017 14:30";"23.0";"629.5";"";"-2.0";"83";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.0";"";"";"";"";"";"";
"05.10.2017 11:30";"26.0";"631.5";"";"-1.0";"59";"Wind blowing from the north-west";"2";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"05.10.2017 08:30";"23.2";"632.5";"";"1.4";"75";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.9";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.5";"";"";"";"";"";"";
"05.10.2017 05:30";"18.0";"631.1";"";"";"91";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.5";"";"";"";"";"";"";
"04.10.2017 20:30";"18.4";"631.3";"";"1.0";"95";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.5";"";"";"";"";"";"";
"04.10.2017 17:30";"20.0";"630.3";"";"-0.1";"96";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"24.7";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"04.10.2017 14:30";"20.4";"630.4";"";"-1.5";"98";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.1";"";"";"";"";"";"";
"04.10.2017 11:30";"22.4";"631.9";"";"-0.6";"91";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.9";"";"";"";"";"";"";
"04.10.2017 08:30";"23.6";"632.5";"";"2.2";"64";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"13.9";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.3";"";"";"";"";"";"";
"04.10.2017 05:30";"17.8";"630.3";"";"";"85";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.3";"";"";"";"";"";"";
"03.10.2017 20:30";"19.4";"630.2";"";"0.7";"98";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"19.1";"";"";"";"";"";"";
"03.10.2017 17:30";"20.2";"629.5";"";"0.3";"98";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"22.1";"";"";"";"";"";"0.2";"19.9";"";"";"";"";"";"";
"03.10.2017 14:30";"21.8";"629.2";"";"-1.8";"88";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.7";"";"";"";"";"";"";
"03.10.2017 11:30";"20.8";"631.0";"";"-0.3";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.6";"";"";"";"";"";"";
"03.10.2017 08:30";"21.0";"631.3";"";"1.4";"82";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"14.3";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
"03.10.2017 05:30";"16.8";"629.9";"";"";"98";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.5";"";"";"";"";"";"";
"02.10.2017 20:30";"18.0";"630.7";"";"1.1";"96";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"02.10.2017 17:30";"19.6";"629.6";"";"0.7";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Drizzle.";"";"24.5";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"18.7";"";"";"";"";"";"";
"02.10.2017 14:30";"21.8";"628.9";"";"-1.2";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.7";"";"";"";"";"";"";
"02.10.2017 11:30";"22.8";"630.1";"";"-1.2";"82";"Wind blowing from the north-west";"1";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.5";"";"";"";"";"";"";
"02.10.2017 08:30";"20.6";"631.3";"";"1.2";"85";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.9";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.9";"";"";"";"";"";"";
"02.10.2017 05:30";"17.8";"630.1";"";"";"95";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"01.10.2017 20:30";"18.2";"630.7";"";"2.0";"95";"Wind blowing from the south-west";"1";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.3";"";"";"";"";"";"";
"01.10.2017 17:30";"19.2";"628.7";"";"0.2";"82";"variable wind direction";"3";"";"";"70 – 80%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Drizzle.";"";"24.1";"Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.1";"";"";"";"";"";"";
"01.10.2017 14:30";"23.6";"628.5";"";"-2.5";"80";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Haze. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.0";"";"";"";"";"";"";
"01.10.2017 11:30";"20.8";"631.0";"";"-0.7";"90";"Wind blowing from the south-west";"1";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"4.0";"19.0";"";"";"";"";"";"";
"01.10.2017 08:30";"19.8";"631.7";"";"1.0";"93";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"14.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"4.0";"18.6";"";"";"";"";"";"";
"01.10.2017 05:30";"17.8";"630.7";"";"";"98";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Haze. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.5";"";"";"";"";"";"";
"30.09.2017 20:30";"18.6";"630.9";"";"0.8";"95";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";"Haze. ";"Rain.";"Drizzle.";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.7";"";"";"";"";"";"";
"30.09.2017 17:30";"18.4";"630.1";"";"0.7";"95";"Wind blowing from the north-west";"1";"";"";"100%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"22.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"17.5";"";"";"";"";"";"";
"30.09.2017 14:30";"21.2";"629.4";"";"-1.6";"88";"Wind blowing from the south";"1";"";"";"100%.";"Drizzle, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"19.1";"";"";"";"";"";"";
"30.09.2017 11:30";"21.4";"631.0";"";"-0.5";"88";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Rain.";"Drizzle.";"";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"30.09.2017 08:30";"18.6";"631.5";"";"1.3";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"15.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"";"Altostratus opacus or Nimbostratus.";"";"1.0";"18.6";"";"";"";"";"";"";
"30.09.2017 05:30";"17.4";"630.2";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, moderate at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"";"Altostratus opacus or Nimbostratus.";"";"1.0";"17.4";"";"";"";"";"";"";
"29.09.2017 20:30";"17.6";"630.2";"";"1.7";"98";"Wind blowing from the south-west";"2";"";"";"90  or more, but not 100%";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.3";"";"";"";"";"";"";
