# Weather station Cherrapunji, India, WMO_ID=42515,selection from 26.01.2014 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42515&lang=en
#
"Local time in Cherrapunji";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.08.2017 08:30";"20.2";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"18.0";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"20.2";"";"";"";"";"";"";
"07.08.2017 17:30";"20.0";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"21.5";"Stratocumulus cumulogenitus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.0";"";"";"";"";"";"";
"07.08.2017 11:30";"20.6";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"4.0";"20.6";"";"";"";"";"";"";
"07.08.2017 08:30";"20.2";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain, not freezing, continuous, heavy at time of observation. ";"Rain.";"Rain.";"18.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.2";"";"";"";"";"";"";
"06.08.2017 17:30";"21.2";"";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"20.6";"";"";"";"";"";"";
"06.08.2017 11:30";"21.4";"";"";"";"100";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"";"";"";"";"";"0.2";"21.4";"";"";"";"";"";"";
"06.08.2017 08:30";"21.6";"";"";"";"98";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.9";"";"";"";"";"";"";"0.2";"21.3";"";"";"";"";"";"";
"05.08.2017 17:30";"22.6";"";"";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.0";"";"";"";"";"";"";
"05.08.2017 11:30";"22.6";"";"";"";"95";"Wind blowing from the north-east";"1";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"4.0";"21.7";"";"";"";"";"";"";
"05.08.2017 08:30";"22.2";"";"";"";"96";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.8";"";"";"";"";"";"";"0.2";"21.6";"";"";"";"";"";"";
"04.08.2017 17:30";"23.4";"";"";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.7";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.9";"";"";"";"";"";"";
"04.08.2017 11:30";"24.8";"";"";"";"94";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.7";"";"";"";"";"";"";
"04.08.2017 08:30";"21.2";"";"";"";"98";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.9";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.9";"";"";"";"";"";"";
"03.08.2017 17:30";"22.4";"";"";"";"93";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"23.8";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"03.08.2017 11:30";"22.2";"";"";"";"98";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"21.9";"";"";"";"";"";"";
"03.08.2017 08:30";"21.6";"";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"19.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"21.0";"";"";"";"";"";"";
"02.08.2017 17:30";"22.2";"";"";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.0";"";"";"";"";"";"";
"02.08.2017 11:30";"22.0";"";"";"";"95";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"21.1";"";"";"";"";"";"";
"02.08.2017 08:30";"22.2";"";"";"";"98";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm, but no precipitation at the time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.8";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"01.08.2017 17:30";"21.4";"";"";"";"95";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.5";"";"";"";"";"";"";
"01.08.2017 11:30";"21.0";"";"";"";"98";"Wind blowing from the south-west";"1";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.7";"";"";"";"";"";"";
"01.08.2017 08:30";"20.8";"";"";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.7";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.5";"";"";"";"";"";"";
"31.07.2017 17:30";"22.2";"";"";"";"93";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"200-300";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.0";"";"";"";"";"";"";
"31.07.2017 11:30";"22.2";"";"";"";"91";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"31.07.2017 08:30";"21.6";"";"";"";"96";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"18.7";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"30.07.2017 17:30";"22.4";"";"";"";"91";"Calm, no wind";"0";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.9";"";"";"";"";"";"";
"30.07.2017 11:30";"22.8";"";"";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"30.07.2017 08:30";"22.8";"";"";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"17.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"29.07.2017 17:30";"22.2";"";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"21.6";"";"";"";"";"";"";
"29.07.2017 11:30";"22.0";"";"";"";"95";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"21.1";"";"";"";"";"";"";
"29.07.2017 08:30";"22.2";"";"";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"18.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"28.07.2017 17:30";"22.2";"";"";"";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"24.8";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.3";"";"";"";"";"";"";
"28.07.2017 11:30";"24.0";"";"";"";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"21.7";"";"";"";"";"";"";
"28.07.2017 08:30";"21.8";"";"";"";"92";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"16.9";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"20.4";"";"";"";"";"";"";
"27.07.2017 17:30";"21.6";"";"";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"27.07.2017 11:30";"22.8";"";"";"";"96";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Rain.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"";"2.0";"22.2";"";"";"";"";"";"";
"27.07.2017 08:30";"20.8";"";"";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"17.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"20.5";"";"";"";"";"";"";
"26.07.2017 17:30";"20.8";"";"";"";"98";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"22.4";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.5";"";"";"";"";"";"";
"26.07.2017 11:30";"20.6";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.6";"";"";"";"";"";"";
"26.07.2017 08:30";"19.6";"";"";"";"100";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"17.9";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"19.6";"";"";"";"";"";"";
"25.07.2017 17:30";"19.2";"";"";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"18.9";"";"";"";"";"";"";
"25.07.2017 11:30";"19.0";"";"";"";"99";"Wind blowing from the south-west";"1";"";"";"100%.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"18.9";"";"";"";"";"";"";
"25.07.2017 08:30";"19.0";"";"";"";"100";"Wind blowing from the south-west";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"17.4";"";"";"";"";"";"";"0.2";"19.0";"";"";"";"";"";"";
"24.07.2017 17:30";"19.0";"";"";"";"100";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"19.4";"";"";"";"";"";"0.2";"19.0";"";"";"";"";"";"";
"24.07.2017 11:30";"19.0";"";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"";"";"";"";"";"0.2";"19.0";"";"";"";"";"";"";
"24.07.2017 08:30";"19.4";"";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"17.7";"";"";"";"";"";"";"0.2";"19.4";"";"";"";"";"";"";
"23.07.2017 17:30";"19.6";"";"";"";"100";"Wind blowing from the south-east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"23.6";"";"";"";"";"";"0.2";"19.6";"";"";"";"";"";"";
"23.07.2017 11:30";"22.4";"";"";"";"95";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"21.5";"";"";"";"";"";"";
"23.07.2017 08:30";"21.6";"";"";"";"95";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"18.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"2.0";"20.7";"";"";"";"";"";"";
"22.07.2017 17:30";"22.8";"";"";"";"91";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"26.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.3";"";"";"";"";"";"";
"22.07.2017 11:30";"24.6";"";"";"";"88";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.4";"";"";"";"";"";"";
"22.07.2017 08:30";"21.8";"";"";"";"86";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"18.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"21.07.2017 17:30";"21.0";"";"";"";"98";"Calm, no wind";"0";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"22.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"21.07.2017 11:30";"20.0";"";"";"";"100";"Wind blowing from the east-southeast";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"0.2";"20.0";"";"";"";"";"";"";
"21.07.2017 08:30";"20.0";"";"";"";"98";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"18.0";"";"";"";"";"";"";"0.2";"19.7";"";"";"";"";"";"";
"20.07.2017 17:30";"20.0";"";"";"";"100";"Wind blowing from the east";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"21.2";"";"";"";"";"";"0.2";"20.0";"";"";"";"";"";"";
"20.07.2017 11:30";"20.6";"";"";"";"100";"Wind blowing from the east";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"20.6";"";"";"";"";"";"";
"20.07.2017 08:30";"20.2";"";"";"";"100";"Wind blowing from the east";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"18.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"20.2";"";"";"";"";"";"";
"19.07.2017 17:30";"19.6";"";"";"";"100";"Wind blowing from the east";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"2.0";"19.6";"";"";"";"";"";"";
"19.07.2017 11:30";"20.0";"";"";"";"98";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"0.5";"19.7";"";"";"";"";"";"";
"19.07.2017 08:30";"20.0";"";"";"";"98";"Wind blowing from the south-west";"1";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"17.9";"";"";"";"";"";"";"0.2";"19.7";"";"";"";"";"";"";
"18.07.2017 17:30";"25.0";"";"";"";"77";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"29.1";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.6";"";"";"";"";"";"";
"18.07.2017 11:30";"27.6";"";"";"";"77";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"18.07.2017 08:30";"26.6";"";"";"";"68";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"20.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.1";"";"";"";"";"";"";
"17.07.2017 17:30";"24.2";"";"";"";"85";"Calm, no wind";"0";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"28.0";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.6";"";"";"";"";"";"";
"17.07.2017 11:30";"26.4";"";"";"";"86";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"17.07.2017 08:30";"26.0";"";"";"";"67";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"20.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.4";"";"";"";"";"";"";
"16.07.2017 17:30";"24.8";"";"";"";"78";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"27.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"16.07.2017 11:30";"26.4";"";"";"";"87";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"16.07.2017 08:30";"24.0";"";"";"";"82";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"16.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"15.07.2017 17:30";"24.2";"";"";"";"90";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"15.07.2017 11:30";"25.4";"";"";"";"89";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"15.07.2017 08:30";"21.8";"";"";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"16.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.0";"";"";"";"";"";"";
"14.07.2017 17:30";"20.2";"";"";"";"98";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"22.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"1.0";"19.9";"";"";"";"";"";"";
