"Local time in Sundernagar","T","Po","P","Pa","U","DD","Ff","ff10","ff3","N","WW","W1","W2","Tn","Tx","Cl","Nh","H","Cm","Ch","VV","Td","RRR","tR","E","Tg","E'","sss"," "
"21.07.2017 20:30","27.4","678.4","","0.7","82","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","90  or more, but not 100%","600-1000","No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","24.0","","","","","","",
"21.07.2017 17:30","29.8","677.7","","-1.2","69","Wind blowing from the south-southwest","2","","","90  or more, but not 100%","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","33.1","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","Altostratus opacus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","23.6","","","","","","",
"21.07.2017 14:30","32.4","678.9","","-1.2","60","Wind blowing from the south-west","1","","","60%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus, or Cirrus castellanus or floccus.","2.0","23.8","","","","","","",
"21.07.2017 11:30","31.4","680.1","","-0.4","58","Calm, no wind","0","","","50%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","40%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.3","","","","","","",
"21.07.2017 08:30","25.0","680.5","","0.6","89","Wind blowing from the north","1","","","70 – 80%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","21.1","","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","40%.","50-100","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.0","","","","","","",
"21.07.2017 05:30","22.2","679.9","","","95","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","60%.","50-100","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","21.3","","","","","","",
"20.07.2017 20:30","25.2","678.5","","1.1","86","Calm, no wind","0","","","40%.","Mist. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","40%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.6","","","","","","",
"20.07.2017 17:30","27.0","677.4","","-2.5","80","Wind blowing from the north-west","1","","","70 – 80%.","Thunderstorm (with or without precipitation). ","Thunderstorm(s) with or without precipitation.","Drizzle.","","27.7","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","23.3","","","","","","",
"20.07.2017 14:30","27.4","679.9","","-0.2","77","Wind blowing from the north-west","1","","","100%.","Mist. ","Thunderstorm(s) with or without precipitation.","Drizzle.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","23.1","","","","","","",
"20.07.2017 11:30","26.8","680.1","","0.4","82","Wind blowing from the south","2","","","100%.","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","60%.","50-100","Altostratus opacus or Nimbostratus.","","1.0","23.4","","","","","","",
"20.07.2017 08:30","25.4","679.7","","0.7","90","Wind blowing from the north","1","","","70 – 80%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","22.5","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","50%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.7","","","","","","",
"20.07.2017 05:30","23.6","679.0","","","95","Calm, no wind","0","","","70 – 80%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","50%.","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.7","","","","","","",
"19.07.2017 20:30","28.5","678.1","","1.0","74","Calm, no wind","0","","","50%."," ","","","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","50%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","23.5","","","","","","",
"19.07.2017 17:30","33.0","677.1","","-2.0","56","Wind blowing from the north-west","1","","","40%."," ","","","","34.8","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","40%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","4.0","23.2","","","","","","",
"19.07.2017 14:30","33.4","679.1","","-1.8","49","Wind blowing from the north-northwest","1","","","40%."," ","","","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","20–30%.","600-1000","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","4.0","21.4","","","","","","",
"19.07.2017 11:30","29.0","680.9","","-0.9","68","Calm, no wind","0","","","60%."," ","","","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","22.4","","","","","","",
"19.07.2017 08:30","24.2","681.8","","0.3","95","Wind blowing from the south-east","1","","","90  or more, but not 100%","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","22.1","","Stratocumulus other than Stratocumulus cumulogenitus.","40%.","1000-1500","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.3","","","","","","",
"19.07.2017 05:30","23.2","681.5","","","95","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","","2.0","22.3","","","","","","",
"18.07.2017 23:30","25.0","680.2","","","89","Calm, no wind","0","","","60%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","","23.0","","","","","","",
"18.07.2017 20:30","25.0","680.2","","0.5","89","Calm, no wind","0","","","60%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.0","","","","","","",
"18.07.2017 17:30","26.8","679.7","","-2.6","79","Calm, no wind","0","","","70 – 80%."," ","","","","27.2","Stratocumulus other than Stratocumulus cumulogenitus.","40%.","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","22.9","","","","","","",
"18.07.2017 14:30","26.5","682.3","","-0.3","84","Calm, no wind","0","","","100%.","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","60%.","50-100","Altostratus opacus or Nimbostratus.","","1.0","23.5","","","","","","",
"18.07.2017 11:30","25.0","682.6","","0.6","96","Calm, no wind","0","","","100%.","Mist. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","60%.","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","24.4","","","","","","",
"18.07.2017 08:30","24.8","682.0","","1.3","88","Calm, no wind","0","","","100%.","Drizzle (not freezing) or snow grains not falling as shower(s). ","Rain.","Drizzle.","22.7","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","50%.","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","22.6","","","","","","",
"18.07.2017 05:30","24.0","680.7","","","96","Calm, no wind","0","","","100%.","Mist. ","Rain.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","23.4","","","","","","",
"17.07.2017 17:30","25.6","680.3","","0.1","87","Wind blowing from the north-west","1","","","100%.","Drizzle, not freezing, intermittent, slight at time of observation. ","Rain.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","Altostratus opacus or Nimbostratus.","","1.0","23.3","","","","","","",
"17.07.2017 14:30","30.6","680.2","","-0.9","69","Calm, no wind","0","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","60%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","24.2","","","","","","",
"17.07.2017 11:30","29.4","681.1","","0.0","73","Calm, no wind","0","","","70 – 80%.","Haze. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","24.1","","","","","","",
"17.07.2017 08:30","25.6","681.1","","0.5","89","Wind blowing from the north-east","1","","","90  or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","23.4","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","10%  or less, but not 0","Less than  50","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","0.5","23.7","","","","","","",
"17.07.2017 05:30","24.4","680.6","","","95","Calm, no wind","0","","","100%.","Mist. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","1000-1500","Altostratus opacus or Nimbostratus.","","1.0","23.5","","","","","","",
"16.07.2017 20:30","26.0","679.9","","0.7","86","Calm, no wind","0","","","70 – 80%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","20–30%.","1000-1500","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.4","","","","","","",
"16.07.2017 17:30","28.0","679.2","","-1.0","71","Wind blowing from the west","1","","","60%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","29.9","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.3","","","","","","",
"16.07.2017 14:30","29.5","680.2","","-1.0","73","Wind blowing from the north","1","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","600-1000","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","24.2","","","","","","",
"16.07.2017 11:30","28.0","681.2","","-0.7","75","Wind blowing from the north","1","","","100%.","Mist. ","Rain.","Drizzle.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","2.0","23.2","","","","","","",
"16.07.2017 08:30","24.8","681.9","","0.8","87","Calm, no wind","0","","","100%.","Rain (not freezing) not falling as shower(s). ","Rain.","Drizzle.","22.5","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","50%.","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","22.5","","","","","","",
"16.07.2017 05:30","23.6","681.1","","","96","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, slight at time of observation. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","90  or more, but not 100%","Less than  50","Altostratus opacus or Nimbostratus.","","0.5","23.0","","","","","","",
"15.07.2017 20:30","26.0","679.9","","0.4","85","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Thunderstorm(s) with or without precipitation.","Fog or ice fog or thick haze.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","1000-1500","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.2","","","","","","",
"15.07.2017 17:30","28.4","679.5","","-0.8","73","Wind blowing from the north","2","","","100%.","Thunderstorm, but no precipitation at the time of observation. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","32.0","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","23.0","","","","","","",
"15.07.2017 14:30","31.8","680.3","","-0.9","60","Wind blowing from the south","1","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","40%.","600-1000","Altostratus translucidus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.1","","","","","","",
"15.07.2017 11:30","31.2","681.2","","-0.5","59","Wind blowing from the south-southwest","2","","","50%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","40%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.3","","","","","","",
"15.07.2017 08:30","26.2","681.7","","0.3","83","Calm, no wind","0","","","40%.","Mist. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","23.1","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","300-600","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.1","","","","","","",
"15.07.2017 05:30","24.0","681.4","","","93","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","60%.","50-100","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","0.5","22.8","","","","","","",
"14.07.2017 20:30","27.4","679.8","","0.5","80","Calm, no wind","0","","","40%.","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.7","","","","","","",
"14.07.2017 17:30","31.0","679.3","","-1.3","63","Wind blowing from the south","2","","","40%.","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","33.2","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.1","","","","","","",
"14.07.2017 14:30","32.5","680.6","","-1.0","56","Wind blowing from the north-west","1","","","40%.","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.7","","","","","","",
"14.07.2017 11:30","30.8","681.6","","-0.5","62","Wind blowing from the north","1","","","40%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","40%.","600-1000","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.6","","","","","","",
"14.07.2017 08:30","26.4","682.1","","0.7","83","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","22.6","","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","50%.","50-100","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","23.3","","","","","","",
"14.07.2017 05:30","23.5","681.4","","","94","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","90  or more, but not 100%","2000-2500","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.5","","","","","","",
"13.07.2017 20:30","26.0","680.2","","0.3","82","Calm, no wind","0","","","40%.","Mist. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.6","","","","","","",
"13.07.2017 17:30","29.6","679.9","","-1.5","63","Calm, no wind","0","","","40%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","31.4","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","21.9","","","","","","",
"13.07.2017 14:30","30.0","681.4","","-1.1","57","Wind blowing from the south-southeast","1","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","20.7","","","","","","",
"13.07.2017 11:30","28.4","682.5","","-0.2","69","Wind blowing from the north-east","1","","","90  or more, but not 100%","Haze. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","50%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.1","","","","","","",
"13.07.2017 08:30","24.8","682.7","","0.7","91","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","22.6","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","60%.","50-100","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","23.3","","","","","","",
"13.07.2017 05:30","23.5","682.0","","","96","Calm, no wind","0","","","100%.","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","1000-1500","Altostratus opacus or Nimbostratus.","","0.5","22.8","","","","","","",
"12.07.2017 20:30","25.6","681.2","","1.2","84","Wind blowing from the south-east","1","","","90  or more, but not 100%","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.7","","","","","","",
"12.07.2017 17:30","27.7","680.0","","-1.1","73","Wind blowing from the south","2","","","40%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","29.7","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.5","","","","","","",
"12.07.2017 14:30","27.4","681.1","","-0.7","76","Wind blowing from the north-northwest","1","","","70 – 80%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","22.8","","","","","","",
"12.07.2017 11:30","25.0","681.8","","0.5","89","Calm, no wind","0","","","100%.","Mist. ","Drizzle.","Fog or ice fog or thick haze.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","50-100","Altostratus opacus or Nimbostratus.","","1.0","23.0","","","","","","",
"12.07.2017 08:30","23.6","681.3","","1.0","95","Calm, no wind","0","","","100%.","Drizzle (not freezing) or snow grains not falling as shower(s). ","Rain.","Drizzle.","21.7","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","","1.0","22.7","","","","","","",
"12.07.2017 05:30","22.9","680.3","","","98","Calm, no wind","0","","","100%.","Drizzle, not freezing, intermittent, slight at time of observation. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","Less than  50","Altostratus opacus or Nimbostratus.","","0.5","22.5","","","","","","",
"11.07.2017 17:30","26.7","679.0","","-1.1","80","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","27.4","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","20–30%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.9","","","","","","",
"11.07.2017 14:30","26.0","680.1","","-0.4","83","Wind blowing from the west-northwest","1","","","100%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","60%.","300-600","Altostratus opacus or Nimbostratus.","","1.0","22.9","","","","","","",
"11.07.2017 11:30","24.6","680.5","","0.3","92","Calm, no wind","0","","","100%.","Drizzle (not freezing) or snow grains not falling as shower(s). ","Drizzle.","Fog or ice fog or thick haze.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","50-100","Altostratus opacus or Nimbostratus.","","1.0","23.2","","","","","","",
"11.07.2017 08:30","24.6","680.2","","0.6","92","Calm, no wind","0","","","100%.","Drizzle (not freezing) or snow grains not falling as shower(s). ","Drizzle.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","22.5","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","60%.","50-100","Altostratus opacus or Nimbostratus.","","1.0","23.2","","","","","","",
"11.07.2017 05:30","23.6","679.6","","","95","Calm, no wind","0","","","90  or more, but not 100%","Drizzle (not freezing) or snow grains not falling as shower(s). ","Drizzle.","Fog or ice fog or thick haze.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","40%.","100-200","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","22.7","","","","","","",
"10.07.2017 20:30","26.5","679.6","","0.9","86","Calm, no wind","0","","","40%.","Mist. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","Stratocumulus cumulogenitus.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","23.9","","","","","","",
"10.07.2017 17:30","29.8","678.7","","-1.1","75","Calm, no wind","0","","","70 – 80%.","Mist. ","Rain.","Drizzle.","","30.8","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","70 – 80%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","24.8","","","","","","",
"10.07.2017 14:30","28.0","679.8","","-0.7","83","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Rain.","Drizzle.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","600-1000","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","24.9","","","","","","",
