# Weather station Comilla, Bangladesh, WMO_ID=41933,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=41933&lang=en
#
"Local time in Comilla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.08.2016 09:00";"26.0";"748.9";"749.6";"0.6";"94";"Wind blowing from the east";"3";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"25.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"3.0";"25.0";"";"";"";"";"";"";
"21.08.2016 06:00";"25.9";"748.3";"748.9";"";"95";"Wind blowing from the west";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"0.6";"25.0";"23.0";"3";"";"";"";"";
"21.08.2016 03:00";"27.0";"748.7";"749.3";"-1.4";"94";"Wind blowing from the north-west";"1";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"0.4";"26.0";"";"";"";"";"";"";
"21.08.2016 00:00";"28.2";"750.1";"750.8";"-0.9";"93";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"27.0";"";"";"";"";"";"";
"20.08.2016 21:00";"28.3";"751.0";"751.6";"";"93";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"27.0";"";"";"";"";"";"";
"20.08.2016 15:00";"30.3";"749.6";"750.2";"-1.5";"78";"Wind blowing from the south-southwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.0";"";"";"";"";"";"";
"20.08.2016 12:00";"30.6";"751.1";"751.8";"-0.3";"76";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"20.08.2016 09:00";"29.2";"751.4";"752.1";"0.7";"83";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";" ";"";"";"27.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"20.08.2016 06:00";"27.3";"750.7";"751.3";"";"93";"Wind blowing from the south-southwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"20.08.2016 03:00";"27.7";"751.0";"751.6";"-0.5";"96";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"27.0";"";"";"";"";"";"";
"20.08.2016 00:00";"28.3";"751.5";"752.1";"0.4";"87";"Wind blowing from the south";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"19.08.2016 21:00";"29.0";"751.1";"751.7";"8.5";"84";"Wind blowing from the south-southwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"19.08.2016 18:00";"31.2";"742.6";"750.0";"";"70";"Wind blowing from the south";"2";"";"";"40%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
"19.08.2016 15:00";"32.5";"749.8";"750.4";"-2.2";"61";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"24.0";"No precipitation";"24";"";"";"";"";
"19.08.2016 12:00";"32.0";"752.0";"752.7";"";"67";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"19.08.2016 09:00";"30.0";"752.0";"752.7";"0.4";"79";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"No precipitation";"24";"";"";"";"";
"19.08.2016 06:00";"27.0";"751.6";"752.2";"";"94";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"19.08.2016 03:00";"27.4";"751.3";"752.0";"0.0";"92";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"19.08.2016 00:00";"28.0";"751.3";"751.9";"0.4";"89";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"18.08.2016 21:00";"28.8";"750.9";"751.5";"1.3";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"26.0";"";"";"";"";"";"";
"18.08.2016 18:00";"29.6";"749.6";"750.2";"0.3";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"32.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"18.08.2016 15:00";"31.9";"749.3";"749.9";"-1.3";"63";"Wind blowing from the south-west";"3";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"24.0";"";"";"";"";"";"";
"18.08.2016 12:00";"31.3";"750.6";"751.3";"-0.5";"65";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"24.0";"";"";"";"";"";"";
"18.08.2016 09:00";"29.2";"751.1";"751.8";"1.6";"78";"Wind blowing from the south-southeast";"2";"";"";"60%.";" ";"";"";"26.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
"18.08.2016 06:00";"26.7";"749.5";"750.1";"";"85";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"18.08.2016 03:00";"27.0";"749.4";"750.0";"0.0";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.5";"24.0";"";"";"";"";"";"";
"18.08.2016 00:00";"27.6";"749.4";"750.0";"1.1";"81";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"24.0";"";"";"";"";"";"";
"17.08.2016 21:00";"28.2";"748.3";"748.9";"1.6";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
"17.08.2016 18:00";"29.4";"746.7";"747.3";"";"73";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"24.0";"2.0";"2";"";"";"";"";
"17.08.2016 06:00";"27.0";"746.6";"747.3";"";"89";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"17.08.2016 03:00";"26.8";"747.1";"747.7";"-0.3";"90";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"17.08.2016 00:00";"26.7";"747.4";"748.0";"-0.2";"90";"Wind blowing from the east-southeast";"1";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"3.0";"2";"";"";"";"";
"16.08.2016 21:00";"26.6";"747.6";"748.3";"1.9";"97";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"16.08.2016 18:00";"27.0";"745.7";"746.3";"1.2";"89";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"35.0";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"200-300";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.5";"25.0";"8.0";"24";"";"";"";"";
"16.08.2016 15:00";"33.6";"744.5";"745.1";"-2.0";"64";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"26.0";"";"";"";"";"";"";
"16.08.2016 12:00";"32.8";"746.5";"747.1";"-0.6";"67";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.0";"";"";"";"";"";"";
"16.08.2016 09:00";"30.8";"747.1";"747.7";"0.6";"76";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"26.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.0";"";"";"";"";"";"";
"16.08.2016 06:00";"27.0";"746.5";"747.1";"";"94";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"16.08.2016 03:00";"28.0";"745.6";"747.5";"-2.7";"79";"Wind blowing from the south";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"3.0";"24.0";"";"";"";"";"";"";
"16.08.2016 00:00";"28.4";"748.3";"748.9";"0.4";"92";"Wind blowing from the south";"1";"";"";"90  or more, but not 100%";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"3.0";"27.0";"5.0";"24";"";"";"";"";
"15.08.2016 21:00";"30.2";"747.9";"748.6";"1.7";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"27.0";"";"";"";"";"";"";
"15.08.2016 18:00";"31.8";"746.2";"746.8";"-0.4";"76";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"33.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"27.0";"";"";"";"";"";"";
"15.08.2016 15:00";"32.8";"746.6";"747.2";"-2.3";"67";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"26.0";"";"";"";"";"";"";
"15.08.2016 12:00";"31.7";"748.9";"749.7";"-0.6";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"26.0";"";"";"";"";"";"";
"15.08.2016 09:00";"29.2";"749.5";"750.1";"0.7";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"15.08.2016 06:00";"26.8";"748.8";"749.4";"";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Rain.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.5";"26.0";"4.0";"15";"";"";"";"";
"15.08.2016 03:00";"27.3";"749.0";"749.6";"-0.5";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.0";"";"";"";"";"";"";
"15.08.2016 00:00";"28.4";"749.5";"750.1";"0.1";"87";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"26.0";"";"";"";"";"";"";
"14.08.2016 21:00";"30.1";"749.4";"750.0";"1.7";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"24.0";"";"";"";"";"";"";
"14.08.2016 18:00";"31.0";"747.7";"748.3";"-0.6";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
"14.08.2016 15:00";"32.0";"748.3";"748.9";"-2.1";"63";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"24.0";"";"";"";"";"";"";
"14.08.2016 12:00";"29.4";"750.4";"751.0";"-1.2";"77";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"60%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"5.0";"25.0";"0.6";"2";"";"";"";"";
"14.08.2016 09:00";"27.6";"751.6";"752.3";"1.2";"97";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"26.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"200-300";"Altostratus opacus or Nimbostratus.";"";"4.0";"27.0";"";"";"";"";"";"";
"14.08.2016 06:00";"27.0";"750.4";"751.0";"";"94";"Calm, no wind";"0";"";"";"100%.";"Rain (not freezing) not falling as shower(s). ";"Rain.";"Rain.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"200-300";"Altostratus opacus or Nimbostratus.";"";"3.0";"26.0";"8.0";"18";"";"";"";"";
"14.08.2016 03:00";"26.8";"750.0";"750.6";"-1.0";"95";"Calm, no wind";"0";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"200-300";"Altostratus opacus or Nimbostratus.";"";"3.0";"26.0";"";"";"";"";"";"";
"14.08.2016 00:00";"26.6";"751.0";"751.7";"0.2";"97";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"90  or more, but not 100%";"200-300";"Altostratus opacus or Nimbostratus.";"";"3.0";"26.0";"7.0";"18";"";"";"";"";
"13.08.2016 21:00";"27.3";"750.8";"751.5";"1.4";"93";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"3.0";"26.0";"";"";"";"";"";"";
"13.08.2016 18:00";"28.4";"749.4";"750.0";"-0.1";"92";"Calm, no wind";"0";"";"";"70 – 80%.";"Rain (not freezing) not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.2";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"200-300";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"27.0";"4.0";"24";"";"";"";"";
"13.08.2016 15:00";"32.4";"749.5";"750.1";"-1.5";"65";"Wind blowing from the west-southwest";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"60%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
"13.08.2016 12:00";"31.8";"751.0";"751.6";"-0.9";"71";"Wind blowing from the south-southwest";"3";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"26.0";"";"";"";"";"";"";
"13.08.2016 09:00";"29.6";"751.9";"752.6";"0.5";"81";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"27.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"26.0";"";"";"";"";"";"";
"13.08.2016 06:00";"27.5";"751.4";"752.1";"";"97";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"27.0";"";"";"";"";"";"";
"13.08.2016 03:00";"27.6";"751.7";"752.4";"-0.1";"97";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"27.0";"";"";"";"";"";"";
"13.08.2016 00:00";"27.6";"751.8";"752.5";"-0.2";"97";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"27.0";"";"";"";"";"";"";
"12.08.2016 21:00";"28.2";"752.0";"752.7";"1.6";"88";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.0";"";"";"";"";"";"";
"12.08.2016 18:00";"29.5";"750.4";"751.1";"0.2";"81";"Wind blowing from the south-southwest";"3";"";"";"50%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"26.0";"";"";"";"";"";"";
"12.08.2016 15:00";"31.0";"750.2";"750.9";"-1.6";"75";"Wind blowing from the south-southwest";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"8.0";"26.0";"";"";"";"";"";"";
"12.08.2016 12:00";"31.0";"751.8";"752.5";"-1.1";"75";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"26.0";"";"";"";"";"";"";
"12.08.2016 09:00";"28.6";"752.9";"753.5";"0.7";"86";"Wind blowing from the south";"2";"";"";"70 – 80%.";" ";"";"";"25.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"7.0";"26.0";"";"";"";"";"";"";
"12.08.2016 06:00";"25.9";"752.2";"752.8";"";"95";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"6.0";"25.0";"";"";"";"";"";"";
"12.08.2016 03:00";"26.5";"752.1";"752.8";"-0.8";"92";"Wind blowing from the south";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
"12.08.2016 00:00";"27.0";"752.9";"753.6";"0.5";"89";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"300-600";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"5.0";"25.0";"";"";"";"";"";"";
