# Weather station Medak, India, WMO_ID=43083,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43083&lang=en
#
"Local time in Medak";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.09.2017 08:30";"25.2";"714.3";"753.3";"";"84";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.5";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.2";"";"";"";"";"";"";
"17.09.2017 17:30";"28.8";"710.7";"749.2";"";"76";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"31.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.2";"";"";"";"";"";"";
"17.09.2017 08:30";"25.6";"713.5";"752.5";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"16.09.2017 17:30";"29.0";"710.8";"749.2";"";"74";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"31.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.8";"";"";"";"";"";"";
"16.09.2017 08:30";"26.2";"713.9";"752.8";"";"84";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"20.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.3";"";"";"";"";"";"";
"15.09.2017 17:30";"29.4";"711.2";"749.5";"";"75";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.5";"";"";"";"";"";"";
"15.09.2017 08:30";"26.8";"714.7";"753.5";"";"80";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"22.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.0";"";"";"";"";"";"";
"14.09.2017 17:30";"28.4";"712.6";"751.1";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"29.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"25.3";"";"";"";"";"";"";
"14.09.2017 08:30";"22.8";"716.0";"755.5";"";"95";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"19.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.9";"";"";"";"";"";"";
"13.09.2017 17:30";"29.0";"713.2";"751.8";"";"78";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.7";"";"";"";"";"";"";
"13.09.2017 08:30";"29.2";"716.3";"754.9";"";"78";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"23.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.9";"";"";"";"";"";"";
"12.09.2017 17:30";"32.6";"713.2";"751.3";"";"64";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"34.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"25.0";"";"";"";"";"";"";
"12.09.2017 08:30";"27.8";"716.7";"755.6";"";"83";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"22.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.6";"";"";"";"";"";"";
"11.09.2017 17:30";"30.6";"713.1";"751.3";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"34.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.3";"";"";"";"";"";"";
"11.09.2017 08:30";"27.8";"715.6";"754.4";"";"83";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"22.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.6";"";"";"";"";"";"";
"10.09.2017 17:30";"30.6";"712.3";"750.6";"";"69";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"34.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.3";"";"";"";"";"";"";
"10.09.2017 08:30";"27.2";"714.4";"753.1";"";"87";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"22.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.9";"";"";"";"";"";"";
"09.09.2017 17:30";"30.6";"711.7";"749.8";"";"72";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"33.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.9";"";"";"";"";"";"";
"09.09.2017 08:30";"27.6";"714.4";"753.1";"";"81";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"22.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.1";"";"";"";"";"";"";
"08.09.2017 17:30";"30.0";"712.0";"750.4";"";"73";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"33.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.6";"";"";"";"";"";"";
"08.09.2017 08:30";"26.2";"715.3";"754.2";"";"87";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.9";"";"";"";"";"";"";
"07.09.2017 17:30";"28.0";"712.1";"750.7";"";"83";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.9";"";"";"";"";"";"";
"07.09.2017 08:30";"27.2";"714.4";"753.1";"";"84";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"24.3";"";"";"";"";"";"";
"06.09.2017 17:30";"28.2";"712.9";"751.5";"";"85";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"28.7";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"25.4";"";"";"";"";"";"";
"06.09.2017 08:30";"26.2";"715.0";"753.8";"";"86";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"23.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.6";"";"";"";"";"";"";
"05.09.2017 17:30";"30.2";"713.2";"751.5";"";"72";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.5";"";"";"";"";"";"";
"05.09.2017 08:30";"28.2";"715.9";"754.6";"";"85";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"23.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.4";"";"";"";"";"";"";
"04.09.2017 17:30";"28.4";"713.2";"751.7";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"25.3";"";"";"";"";"";"";
"04.09.2017 08:30";"27.0";"715.9";"756.3";"";"89";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"22.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.0";"";"";"";"";"";"";
"03.09.2017 17:30";"31.2";"712.6";"750.7";"";"68";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"33.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.7";"";"";"";"";"";"";
"03.09.2017 08:30";"26.8";"715.0";"753.9";"";"83";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"22.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.6";"";"";"";"";"";"";
"02.09.2017 17:30";"31.2";"712.6";"750.7";"";"68";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"32.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.7";"";"";"";"";"";"";
"02.09.2017 08:30";"27.2";"715.3";"754.1";"";"80";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"21.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.4";"";"";"";"";"";"";
"01.09.2017 17:30";"30.6";"712.9";"751.2";"";"69";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.3";"";"";"";"";"";"";
"01.09.2017 08:30";"26.6";"715.8";"754.7";"";"74";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"21.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"21.5";"";"";"";"";"";"";
"31.08.2017 17:30";"29.6";"712.3";"750.7";"";"75";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.3";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.8";"";"";"";"";"";"";
"31.08.2017 08:30";"26.8";"715.0";"753.9";"";"80";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"21.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.0";"";"";"";"";"";"";
"30.08.2017 08:30";"25.6";"712.4";"751.3";"";"89";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"21.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.6";"";"";"";"";"";"";
"29.08.2017 17:30";"27.6";"707.5";"745.9";"";"84";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"28.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.7";"";"";"";"";"";"";
"29.08.2017 08:30";"23.8";"709.4";"748.4";"";"98";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.5";"";"";"";"";"";"";
"28.08.2017 17:30";"25.4";"706.7";"745.3";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"26.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"22.9";"";"";"";"";"";"";
"28.08.2017 08:30";"23.8";"710.2";"748.6";"";"95";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.9";"";"";"";"";"";"";
"27.08.2017 17:30";"26.4";"707.8";"746.3";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"25.3";"";"";"";"";"";"";
"27.08.2017 08:30";"24.2";"710.2";"749.1";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.7";"";"";"";"";"";"";
"26.08.2017 17:30";"28.0";"707.9";"746.3";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"25.4";"";"";"";"";"";"";
"26.08.2017 08:30";"23.6";"710.7";"749.7";"";"96";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"20.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.0";"";"";"";"";"";"";
"25.08.2017 17:30";"26.2";"709.0";"747.7";"";"90";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"28.6";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"24.5";"";"";"";"";"";"";
"25.08.2017 08:30";"24.6";"712.5";"751.6";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.7";"";"";"";"";"";"";
"24.08.2017 17:30";"29.2";"710.5";"748.7";"";"71";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"31.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.4";"";"";"";"";"";"";
"24.08.2017 08:30";"26.2";"713.5";"752.3";"";"84";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"22.8";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.3";"";"";"";"";"";"";
"23.08.2017 17:30";"29.2";"711.1";"749.4";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.7";"";"";"";"";"";"";
"23.08.2017 08:30";"26.6";"713.5";"752.3";"";"81";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"21.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.1";"";"";"";"";"";"";
"22.08.2017 17:30";"27.2";"709.8";"748.3";"";"83";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"30.4";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"20.0";"24.0";"";"";"";"";"";"";
"22.08.2017 08:30";"25.2";"712.2";"751.1";"";"91";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"20.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.7";"";"";"";"";"";"";
"21.08.2017 17:30";"27.6";"708.7";"747.1";"";"78";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"27.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"10%  or less, but not 0";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.5";"";"";"";"";"";"";
"21.08.2017 08:30";"24.2";"711.0";"750.0";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"19.3";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.7";"";"";"";"";"";"";
"20.08.2017 17:30";"23.8";"707.9";"746.8";"";"90";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"24.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"22.0";"";"";"";"";"";"";
"20.08.2017 08:30";"22.8";"709.5";"748.6";"";"98";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"19.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.5";"";"";"";"";"";"";
"19.08.2017 17:30";"23.0";"709.0";"748.1";"";"98";"Wind blowing from the south-west";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Rain.";"";"25.4";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"22.7";"";"";"";"";"";"";
"19.08.2017 08:30";"24.2";"711.7";"750.7";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.7";"";"";"";"";"";"";
"18.08.2017 17:30";"25.2";"709.7";"748.9";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"25.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.7";"";"";"";"";"";"";
"18.08.2017 08:30";"24.2";"713.5";"752.6";"";"91";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"22.7";"";"";"";"";"";"";
"17.08.2017 17:30";"28.2";"709.9";"748.3";"";"78";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"29.7";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.9";"";"";"";"";"";"";
"17.08.2017 08:30";"25.6";"713.2";"752.1";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"22.2";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.6";"";"";"";"";"";"";
"16.08.2017 17:30";"29.2";"711.4";"749.8";"";"71";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"30.8";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.4";"";"";"";"";"";"";
"16.08.2017 08:30";"25.6";"714.7";"753.7";"";"89";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"21.6";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"60%.";"600-1000";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"23.6";"";"";"";"";"";"";
"15.08.2017 17:30";"29.8";"712.6";"751.0";"";"70";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"31.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"20.0";"23.7";"";"";"";"";"";"";
