# Weather station Calicut (airport), India, WMO_ID=43320,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43320&lang=en
#
"Local time in Calicut (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.10.2017 08:30";"27.2";"748.1";"757.3";"";"87";"Wind blowing from the east";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.9";"";"";"";"";"";"";
"19.10.2017 17:30";"29.0";"744.9";"754.0";"";"75";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"31.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"24.1";"";"";"";"";"";"";
"19.10.2017 08:30";"26.8";"747.5";"756.7";"";"81";"Wind blowing from the east";"3";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.6";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.3";"";"";"";"";"";"";
"18.10.2017 17:30";"28.8";"744.9";"754.0";"";"82";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";" ";"";"";"";"30.9";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.4";"";"";"";"";"";"";
"18.10.2017 08:30";"25.6";"747.9";"757.1";"";"90";"Wind blowing from the north-northeast";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.3";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.9";"";"";"";"";"";"";
"17.10.2017 17:30";"27.2";"746.1";"755.2";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"24.6";"";"";"";"";"";"";
"17.10.2017 08:30";"25.2";"747.8";"757.0";"";"90";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.3";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"16.10.2017 17:30";"27.8";"746.6";"755.7";"";"83";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"30.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"24.6";"";"";"";"";"";"";
"16.10.2017 08:30";"25.2";"748.8";"758.0";"";"90";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"15.10.2017 17:30";"29.0";"746.3";"755.4";"";"74";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"";"30.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.8";"";"";"";"";"";"";
"15.10.2017 08:30";"24.4";"748.5";"757.8";"";"91";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Drizzle, not freezing, continuous, slight at time of observation. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.2";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.9";"";"";"";"";"";"";
"14.10.2017 17:30";"25.0";"746.0";"755.2";"";"87";"Wind blowing from the east";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"200-300";"Altostratus opacus or Nimbostratus.";"";"4.0";"22.6";"";"";"";"";"";"";
"14.10.2017 08:30";"24.8";"747.5";"756.7";"";"91";"Wind blowing from the south";"2";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.4";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"23.3";"";"";"";"";"";"";
"13.10.2017 17:30";"26.0";"745.1";"754.3";"";"95";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Drizzle.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"100-200";"Altostratus opacus or Nimbostratus.";"";"2.0";"25.1";"";"";"";"";"";"";
"13.10.2017 08:30";"25.6";"746.8";"756.0";"";"90";"Wind blowing from the north-east";"2";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.9";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.9";"";"";"";"";"";"";
"12.10.2017 17:30";"28.0";"745.2";"754.3";"";"80";"Wind blowing from the west";"2";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Rain.";"Drizzle.";"";"31.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"24.3";"";"";"";"";"";"";
"12.10.2017 08:30";"26.0";"746.7";"755.9";"";"87";"Wind blowing from the east";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.9";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.7";"";"";"";"";"";"";
"11.10.2017 17:30";"28.6";"744.9";"754.0";"";"83";"Wind blowing from the south-southwest";"2";"";"";"100%.";" ";"";"";"";"30.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"25.5";"";"";"";"";"";"";
"11.10.2017 08:30";"25.2";"746.3";"755.5";"";"85";"Wind blowing from the south-east";"3";"";"";"100%.";" ";"";"";"22.9";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"22.5";"";"";"";"";"";"";
"10.10.2017 17:30";"29.0";"743.6";"752.7";"";"75";"Wind blowing from the west";"4";"";"";"50%.";" ";"";"";"";"30.9";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.1";"";"";"";"";"";"";
"10.10.2017 08:30";"26.4";"746.6";"755.8";"";"86";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.8";"";"";"";"";"";"";
"09.10.2017 17:30";"29.0";"744.1";"753.2";"";"74";"Wind blowing from the south-west";"3";"";"";"60%.";" ";"";"";"";"30.9";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.8";"";"";"";"";"";"";
"09.10.2017 08:30";"25.6";"746.4";"755.6";"";"76";"Wind blowing from the east";"3";"";"";"40%.";" ";"";"";"21.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"21.1";"";"";"";"";"";"";
"08.10.2017 17:30";"29.0";"744.6";"753.7";"";"78";"Wind blowing from the south-west";"4";"";"";"70 – 80%.";" ";"";"";"";"31.7";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.7";"";"";"";"";"";"";
"08.10.2017 08:30";"26.0";"746.6";"755.8";"";"84";"Wind blowing from the east";"2";"";"";"50%.";"Clouds generally dissolving or becoming less developed. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.8";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"07.10.2017 17:30";"29.0";"744.7";"753.8";"";"78";"Wind blowing from the south-west";"3";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.3";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.7";"";"";"";"";"";"";
"07.10.2017 08:30";"25.8";"746.6";"755.8";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.8";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"50-100";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"0.5";"24.6";"";"";"";"";"";"";
"06.10.2017 17:30";"26.8";"744.8";"753.9";"";"89";"Wind blowing from the west-southwest";"2";"";"";"90  or more, but not 100%";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"06.10.2017 08:30";"26.4";"746.4";"755.6";"";"84";"variable wind direction";"2";"";"";"70 – 80%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.5";"";"";"";"";"";"";
"05.10.2017 17:30";"28.8";"744.3";"753.4";"";"79";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"31.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"24.8";"";"";"";"";"";"";
"05.10.2017 08:30";"26.2";"746.6";"755.8";"";"92";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"24.8";"";"";"";"";"";"";
"04.10.2017 17:30";"29.0";"745.2";"754.3";"";"75";"Wind blowing from the west";"3";"";"";"60%.";" ";"";"";"";"30.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.1";"";"";"";"";"";"";
"04.10.2017 08:30";"26.0";"748.1";"757.3";"";"92";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.8";"";"Stratocumulus cumulogenitus.";"60%.";"50-100";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"24.6";"";"";"";"";"";"";
"03.10.2017 17:30";"28.0";"745.3";"754.4";"";"83";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"31.1";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.9";"";"";"";"";"";"";
"03.10.2017 08:30";"26.0";"747.6";"756.8";"";"90";"Wind blowing from the east-southeast";"2";"";"";"70 – 80%.";" ";"";"";"23.4";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.3";"";"";"";"";"";"";
"02.10.2017 17:30";"28.2";"745.5";"754.6";"";"80";"Wind blowing from the south-southwest";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"29.4";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.5";"";"";"";"";"";"";
"02.10.2017 08:30";"24.4";"747.8";"757.0";"";"96";"Wind blowing from the north-east";"2";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Rain.";"Rain.";"22.8";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"50-100";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.8";"";"";"";"";"";"";
"01.10.2017 17:30";"26.0";"746.6";"755.8";"";"90";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";"Mist. ";"Rain.";"Drizzle.";"";"27.8";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.3";"";"";"";"";"";"";
"01.10.2017 08:30";"24.4";"749.3";"758.6";"";"95";"Wind blowing from the south-west";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"23.3";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"100-200";"Altostratus opacus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"23.5";"";"";"";"";"";"";
"30.09.2017 17:30";"28.0";"746.7";"755.8";"";"83";"Wind blowing from the south-west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"30.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.9";"";"";"";"";"";"";
"30.09.2017 08:30";"25.0";"748.6";"757.8";"";"91";"Wind blowing from the north-northeast";"1";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"22.8";"";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.5";"";"";"";"";"";"";
"29.09.2017 17:30";"28.4";"745.5";"754.6";"";"75";"Wind blowing from the west";"3";"";"";"70 – 80%.";" ";"";"";"";"30.2";"Stratocumulus cumulogenitus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.5";"";"";"";"";"";"";
"29.09.2017 08:30";"25.6";"748.1";"757.3";"";"90";"Calm, no wind";"0";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.4";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"200-300";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.9";"";"";"";"";"";"";
"28.09.2017 17:30";"27.4";"746.3";"755.4";"";"81";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"29.5";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"300-600";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"28.09.2017 08:30";"25.2";"747.6";"756.8";"";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.0";"";"";"";"";"";"";
"27.09.2017 17:30";"26.0";"746.0";"755.2";"";"87";"Wind blowing from the south";"5";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"29.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"2.0";"23.7";"";"";"";"";"";"";
"27.09.2017 08:30";"24.4";"748.0";"757.2";"";"96";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"22.9";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"100-200";"Altostratus opacus or Nimbostratus.";"";"2.0";"23.8";"";"";"";"";"";"";
"26.09.2017 08:30";"26.0";"747.8";"757.0";"";"84";"Wind blowing from the south-southwest";"2";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"25.09.2017 17:30";"28.8";"745.4";"754.5";"";"79";"Wind blowing from the west-northwest";"4";"";"";"90  or more, but not 100%";" ";"";"";"";"30.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.8";"";"";"";"";"";"";
"25.09.2017 08:30";"26.6";"748.8";"758.0";"";"90";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"23.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"100-200";"Altostratus opacus or Nimbostratus.";"";"2.0";"24.9";"";"";"";"";"";"";
"24.09.2017 17:30";"28.6";"746.7";"755.8";"";"76";"Wind blowing from the west";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"31.2";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus cumulonimbogenitus.";"4.0";"24.0";"";"";"";"";"";"";
"24.09.2017 08:30";"27.4";"749.0";"758.2";"";"81";"Wind blowing from the north-northeast";"2";"";"";"60%.";" ";"";"";"24.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"23.09.2017 17:30";"29.4";"746.4";"755.5";"";"82";"Wind blowing from the west";"5";"";"";"40%.";" ";"";"";"";"31.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"26.0";"";"";"";"";"";"";
"23.09.2017 08:30";"26.6";"749.3";"758.5";"";"87";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"23.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"22.09.2017 17:30";"29.0";"746.4";"755.5";"";"80";"Wind blowing from the west";"4";"";"";"40%.";" ";"";"";"";"31.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"25.3";"";"";"";"";"";"";
"22.09.2017 08:30";"26.0";"748.5";"757.7";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"22.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.1";"";"";"";"";"";"";
"21.09.2017 17:30";"28.2";"745.9";"755.0";"";"80";"Wind blowing from the west-northwest";"4";"";"";"70 – 80%.";" ";"";"";"";"30.1";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"24.5";"";"";"";"";"";"";
