# Weather station Alapuzha, India, WMO_ID=43352,selection from 10.07.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43352&lang=en
#
"Local time in Alapuzha";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.05.2017 11:30";"30.4";"755.5";"755.8";"-0.2";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"26.2";"";"";"";"";"";"";
"21.05.2017 08:30";"26.8";"755.7";"756.0";"";"94";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"22.5";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"25.7";"";"";"";"";"";"";
"20.05.2017 17:30";"31.2";"753.8";"754.1";"";"84";"Wind blowing from the west";"2";"";"";"100%.";"Clouds generally forming or developing. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.2";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"28.2";"";"";"";"";"";"";
"20.05.2017 11:30";"32.6";"757.0";"757.3";"-0.3";"69";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.2";"";"";"";"";"";"";
"20.05.2017 08:30";"30.6";"757.3";"757.6";"";"78";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"27.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.4";"";"";"";"";"";"";
"19.05.2017 17:30";"31.6";"755.7";"756.0";"";"75";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"33.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.6";"";"";"";"";"";"";
"19.05.2017 11:30";"32.0";"757.5";"757.8";"0.2";"75";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.0";"";"";"";"";"";"";
"19.05.2017 08:30";"28.0";"757.3";"757.6";"";"91";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"24.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.3";"";"";"";"";"";"";
"18.05.2017 17:30";"32.2";"755.3";"755.6";"";"78";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"35.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.8";"";"";"";"";"";"";
"18.05.2017 11:30";"34.4";"756.6";"756.9";"0.3";"71";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"28.4";"";"";"";"";"";"";
"18.05.2017 08:30";"31.0";"756.3";"756.6";"";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.4";"";"";"";"";"";"";
"17.05.2017 17:30";"32.6";"754.0";"754.3";"";"75";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"35.8";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.7";"";"";"";"";"";"";
"17.05.2017 11:30";"33.8";"756.1";"756.4";"0.0";"72";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"28.1";"";"";"";"";"";"";
"17.05.2017 08:30";"29.0";"756.1";"756.4";"";"95";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"28.1";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"28.2";"";"";"";"";"";"";
"16.05.2017 17:30";"33.4";"753.7";"754.0";"";"74";"Wind blowing from the west";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"35.3";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"28.2";"";"";"";"";"";"";
"16.05.2017 11:30";"33.0";"755.8";"756.1";"0.0";"74";"variable wind direction";"1";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.8";"";"";"";"";"";"";
"16.05.2017 08:30";"30.0";"755.8";"756.1";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"27.4";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.8";"";"";"";"";"";"";
"15.05.2017 17:30";"31.0";"754.8";"755.1";"";"83";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"33.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.7";"";"";"";"";"";"";
"15.05.2017 11:30";"31.6";"757.0";"757.3";"0.1";"76";"variable wind direction";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.9";"";"";"";"";"";"";
"15.05.2017 08:30";"28.4";"756.9";"757.2";"";"82";"Calm, no wind";"0";"";"";"100%.";"Clouds generally forming or developing. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"24.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"25.0";"";"";"";"";"";"";
"14.05.2017 17:30";"33.6";"754.8";"755.1";"";"70";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"36.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.3";"";"";"";"";"";"";
"14.05.2017 11:30";"34.2";"756.7";"757.0";"0.0";"64";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.4";"";"";"";"";"";"";
"14.05.2017 08:30";"30.2";"756.7";"757.0";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"27.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.9";"";"";"";"";"";"";
"13.05.2017 17:30";"31.8";"754.3";"754.6";"";"71";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"33.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"25.9";"";"";"";"";"";"";
"13.05.2017 11:30";"33.0";"756.5";"756.8";"-0.3";"65";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.7";"";"";"";"";"";"";
"13.05.2017 08:30";"28.6";"756.8";"757.1";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"24.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2000-2500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.5";"";"";"";"";"";"";
"12.05.2017 17:30";"33.0";"754.0";"754.3";"";"74";"variable wind direction";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"35.5";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.8";"";"";"";"";"";"";
"12.05.2017 11:30";"33.2";"757.0";"757.3";"-0.2";"73";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.7";"";"";"";"";"";"";
"12.05.2017 08:30";"29.4";"757.2";"757.5";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.8";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"26.9";"";"";"";"";"";"";
"11.05.2017 17:30";"30.2";"754.7";"755.0";"";"77";"variable wind direction";"1";"";"";"70 – 80%.";"Clouds generally dissolving or becoming less developed. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"31.9";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"25.7";"";"";"";"";"";"";
"11.05.2017 11:30";"29.6";"757.9";"758.2";"0.1";"80";"variable wind direction";"1";"";"";"90  or more, but not 100%";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"25.7";"";"";"";"";"";"";
"11.05.2017 08:30";"28.0";"757.8";"758.1";"";"83";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"24.7";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.9";"";"";"";"";"";"";
"10.05.2017 17:30";"33.6";"754.4";"754.7";"";"66";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"37.4";"Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.4";"";"";"";"";"";"";
"10.05.2017 11:30";"34.8";"757.0";"757.3";"-0.3";"63";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.8";"";"";"";"";"";"";
"10.05.2017 08:30";"31.2";"757.3";"757.6";"";"75";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"27.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.2";"";"";"";"";"";"";
"09.05.2017 17:30";"33.2";"754.9";"755.2";"";"66";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"";"36.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.0";"";"";"";"";"";"";
"09.05.2017 11:30";"34.6";"758.2";"758.5";"0.0";"61";"variable wind direction";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.0";"";"";"";"";"";"";
"09.05.2017 08:30";"30.4";"758.2";"758.5";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.5";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.5";"";"";"";"";"";"";
"08.05.2017 17:30";"32.2";"755.8";"756.1";"";"70";"variable wind direction";"1";"";"";"60%.";" ";"";"";"";"33.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"10%  or less, but not 0";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"26.1";"";"";"";"";"";"";
"08.05.2017 11:30";"31.8";"758.5";"758.8";"0.3";"78";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"27.4";"";"";"";"";"";"";
"08.05.2017 08:30";"29.0";"758.2";"758.5";"";"88";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"26.7";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.8";"";"";"";"";"";"";
"07.05.2017 17:30";"30.4";"756.1";"756.4";"";"87";"Wind blowing from the north-west";"2";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"33.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"60%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"27.9";"";"";"";"";"";"";
"07.05.2017 11:30";"32.4";"758.7";"759.0";"-0.2";"70";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"10.0";"26.3";"";"";"";"";"";"";
"07.05.2017 08:30";"29.8";"758.9";"759.2";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.7";"";"";"";"";"";"";
"06.05.2017 17:30";"32.8";"756.5";"756.8";"";"70";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"34.2";"Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.7";"";"";"";"";"";"";
"06.05.2017 11:30";"31.8";"758.6";"758.9";"-0.4";"76";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"27.1";"";"";"";"";"";"";
"06.05.2017 08:30";"29.4";"759.0";"759.3";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"26.8";"";"Stratocumulus cumulogenitus.";"40%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.3";"";"";"";"";"";"";
"05.05.2017 17:30";"33.4";"755.7";"756.0";"";"72";"Wind blowing from the west";"2";"";"";"60%.";" ";"";"";"";"36.5";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.7";"";"";"";"";"";"";
"05.05.2017 11:30";"33.0";"758.1";"758.4";"-0.1";"72";"Calm, no wind";"0";"";"";"60%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.2";"";"";"";"";"";"";
"05.05.2017 08:30";"30.8";"758.2";"758.5";"";"81";"Calm, no wind";"0";"";"";"60%.";"State of sky on the whole unchanged. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"28.2";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"300-600";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"27.2";"";"";"";"";"";"";
"04.05.2017 17:30";"33.0";"756.0";"756.3";"";"70";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"36.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.9";"";"";"";"";"";"";
"04.05.2017 11:30";"32.0";"758.5";"758.8";"0.1";"74";"variable wind direction";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"26.8";"";"";"";"";"";"";
"04.05.2017 08:30";"30.8";"758.4";"758.7";"";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.4";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.6";"";"";"";"";"";"";
"03.05.2017 17:30";"33.2";"755.8";"756.1";"";"67";"Wind blowing from the north-west";"2";"";"";"40%.";" ";"";"";"";"36.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"26.3";"";"";"";"";"";"";
