# Weather station Mukteshwar / Kumaon, India, WMO_ID=42147,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42147&lang=en
#
"Local time in Mukteshwar / Kumaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.01.2017 17:30";"8.6";"585.0";"";"";"52";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"12.0";"";"";"";"";"";"4.0";"-0.8";"";"";"";"";"";"";
"19.01.2017 11:30";"10.6";"587.1";"";"0.8";"33";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-5.2";"";"";"";"";"";"";
"19.01.2017 08:30";"6.4";"586.3";"";"";"34";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"3.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-8.6";"";"";"";"";"";"";
"18.01.2017 17:30";"7.2";"584.9";"";"0.0";"40";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"11.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-5.7";"";"";"";"";"";"";
"18.01.2017 14:30";"10.6";"585.4";"";"-0.6";"29";"variable wind direction";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-6.7";"";"";"";"";"";"";
"18.01.2017 11:30";"9.4";"586.0";"";"1.3";"34";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-5.8";"";"";"";"";"";"";
"18.01.2017 08:30";"6.2";"584.7";"";"";"44";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"2.1";"";"";"";"";"";"";"4.0";"-5.2";"";"";"";"";"";"";
"17.01.2017 17:30";"5.2";"581.9";"";"0.0";"66";"Wind blowing from the east";"2";"";"";"90  or more, but not 100%";" ";"";"";"";"9.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-0.8";"";"";"";"";"";"";
"17.01.2017 14:30";"8.6";"581.9";"";"-1.0";"50";"Wind blowing from the south-west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"200-300";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.4";"";"";"";"";"";"";
"17.01.2017 11:30";"7.4";"582.9";"";"1.2";"52";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.8";"";"";"";"";"";"";
"17.01.2017 08:30";"4.0";"581.7";"";"";"85";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"1.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.6";"";"";"";"";"";"";
"16.01.2017 17:30";"5.8";"582.1";"";"-0.2";"59";"variable wind direction";"1";"";"";"50%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"10.3";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.6";"";"";"";"";"";"";
"16.01.2017 14:30";"8.0";"582.3";"";"-1.1";"45";"Wind blowing from the south-west";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.3";"";"";"";"";"";"";
"16.01.2017 11:30";"8.2";"583.4";"";"0.5";"49";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.9";"";"";"";"";"";"";
"16.01.2017 08:30";"6.2";"582.9";"";"";"44";"variable wind direction";"1";"";"";"40%.";" ";"";"";"2.5";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"200-300";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-5.2";"";"";"";"";"";"";
"15.01.2017 17:30";"5.0";"583.2";"";"-0.4";"66";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"8.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.0";"";"";"";"";"";"";
"15.01.2017 14:30";"6.2";"583.6";"";"-1.1";"57";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.7";"";"";"";"";"";"";
"15.01.2017 11:30";"6.4";"584.7";"";"1.2";"58";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.4";"";"";"";"";"";"";
"15.01.2017 08:30";"3.6";"583.5";"";"";"67";"variable wind direction";"1";"";"";"70 – 80%.";" ";"";"";"1.1";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"200-300";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.1";"";"";"";"";"";"";
"14.01.2017 17:30";"6.6";"582.6";"";"0.0";"54";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"10.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-2.2";"";"";"";"";"";"";
"14.01.2017 14:30";"9.2";"582.6";"";"-0.7";"28";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"1000-1500";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-8.5";"";"";"";"";"";"";
"14.01.2017 11:30";"7.2";"583.3";"";"1.6";"35";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"-7.2";"";"";"";"";"";"";
"14.01.2017 08:30";"1.2";"581.7";"";"";"85";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"-1.7";"";"";"";"";"";"";"4.0";"-1.1";"";"";"";"";"";"";
"13.01.2017 17:30";"2.6";"580.6";"";"0.0";"66";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"8.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.2";"";"";"";"";"";"";
"13.01.2017 14:30";"8.2";"580.6";"";"-1.1";"42";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-4.2";"";"";"";"";"";"";
"13.01.2017 11:30";"5.4";"581.7";"";"0.9";"38";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-7.8";"";"";"";"";"";"";
"13.01.2017 08:30";"0.6";"580.8";"";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"-2.5";"";"";"";"";"";"";"4.0";"-3.1";"";"";"";"";"";"";
"12.01.2017 17:30";"1.2";"579.5";"";"-0.4";"87";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";"Mist. ";"Rain and snow or other types of solid precipitation";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"4.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"-0.7";"";"";"";"";"";"";
"12.01.2017 14:30";"2.2";"579.9";"";"-0.6";"84";"Wind blowing from the east";"1";"";"";"70 – 80%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-0.2";"";"";"";"";"";"";
"12.01.2017 11:30";"1.6";"580.5";"";"0.9";"82";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.2";"";"";"";"";"";"";
"12.01.2017 08:30";"0.0";"579.6";"";"";"85";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"-3.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.3";"";"";"";"";"";"";
"11.01.2017 17:30";"0.4";"578.9";"";"0.0";"94";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"4.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-0.5";"";"";"";"";"";"";
"11.01.2017 14:30";"3.6";"578.9";"";"-1.2";"69";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.6";"";"";"";"";"";"";
"11.01.2017 11:30";"3.2";"580.1";"";"0.8";"61";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.6";"";"";"";"";"";"";
"11.01.2017 08:30";"0.4";"579.3";"";"";"88";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"-2.2";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.4";"";"";"";"";"";"";
"10.01.2017 17:30";"1.8";"579.3";"";"-0.1";"69";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"6.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.3";"";"";"";"";"";"";
"10.01.2017 14:30";"4.4";"579.4";"";"-1.0";"48";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-5.7";"";"";"";"";"";"";
"10.01.2017 11:30";"4.0";"580.4";"";"1.0";"52";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-5.0";"";"";"";"";"";"";
"10.01.2017 08:30";"1.4";"579.4";"";"";"66";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"-0.7";"";"";"";"";"";"";"4.0";"-4.3";"";"";"";"";"";"";
"09.01.2017 20:30";"3.0";"579.9";"";"0.0";"74";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"5.6";"";"";"";"";"";"4.0";"-1.2";"";"";"";"";"";"";
"09.01.2017 17:30";"3.0";"579.9";"";"-0.9";"74";"variable wind direction";"1";"";"";"no clouds";" ";"";"";"";"5.6";"";"";"";"";"";"4.0";"-1.2";"";"";"";"";"";"";
"09.01.2017 14:30";"4.4";"580.8";"";"-0.9";"60";"variable wind direction";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.7";"";"";"";"";"";"";
"09.01.2017 11:30";"5.0";"581.7";"";"0.6";"61";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.0";"";"";"";"";"";"";
"09.01.2017 08:30";"1.4";"581.1";"";"";"69";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"-1.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.8";"";"";"";"";"";"";
"08.01.2017 17:30";"2.6";"580.5";"";"-0.4";"64";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"5.4";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.7";"";"";"";"";"";"";
"08.01.2017 14:30";"4.0";"580.9";"";"-0.6";"65";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.1";"";"";"";"";"";"";
"08.01.2017 11:30";"0.6";"581.5";"760.7";"1.1";"97";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.1";"";"";"";"";"";"";
"08.01.2017 08:30";"0.0";"580.4";"";"";"100";"Wind blowing from the north-east";"2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"-1.7";"";"";"";"";"";"";"0.05";"0.0";"";"";"";"";"";"";
"07.01.2017 17:30";"-0.6";"578.4";"";"";"100";"Wind blowing from the north-east";"2";"";"";"100%.";"Continuous fall of snowflakes, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Snow and/or other types of solid precipitation";"";"1.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"Less than  50";"";"";"0.05";"-0.6";"";"";"";"";"";"";
"07.01.2017 11:30";"1.6";"580.2";"";"0.2";"94";"Wind blowing from the north-east";"1";"";"";"100%.";"Mist. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"50-100";"";"";"1.0";"0.7";"";"";"";"";"";"";
"07.01.2017 08:30";"1.4";"580.0";"";"";"82";"Wind blowing from the north-east";"2";"";"";"100%.";"Intermittent fall of snowflakes, slight at time of observation. ";"Rain and snow or other types of solid precipitation";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"0.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"50-100";"";"";"1.0";"-1.4";"";"";"";"";"";"";
"06.01.2017 17:30";"6.8";"580.4";"";"-0.5";"41";"Wind blowing from the south-west";"2";"";"";"20–30%.";" ";"";"";"";"13.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-5.6";"";"";"";"";"";"";
"06.01.2017 14:30";"13.0";"580.9";"";"-1.5";"25";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-6.9";"";"";"";"";"";"";
"06.01.2017 11:30";"12.2";"582.4";"";"0.7";"26";"variable wind direction";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-6.9";"";"";"";"";"";"";
"06.01.2017 08:30";"6.8";"581.7";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"2.5";"";"";"";"";"";"";"4.0";"-5.6";"";"";"";"";"";"";
"05.01.2017 17:30";"7.8";"580.7";"";"-0.1";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"13.8";"";"";"";"";"";"4.0";"-3.0";"";"";"";"";"";"";
"05.01.2017 14:30";"12.0";"580.8";"";"-1.8";"35";"Wind blowing from the south-west";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-3.0";"";"";"";"";"";"";
"05.01.2017 11:30";"11.4";"582.6";"";"0.4";"29";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"-6.0";"";"";"";"";"";"";
"05.01.2017 08:30";"4.6";"582.2";"";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"1.7";"";"";"";"";"";"";"4.0";"-3.6";"";"";"";"";"";"";
"04.01.2017 17:30";"7.4";"";"";"";"54";"Wind blowing from the south-west";"1";"";"";"20–30%.";" ";"";"";"";"14.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.3";"";"";"";"";"";"";
"04.01.2017 14:30";"10.8";"582.3";"";"-1.6";"42";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.7";"";"";"";"";"";"";
"04.01.2017 11:30";"12.8";"583.9";"";"0.7";"38";"variable wind direction";"1";"";"";"20–30%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.2";"";"";"";"";"";"";
"04.01.2017 08:30";"5.8";"583.2";"";"";"64";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"3.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-0.6";"";"";"";"";"";"";
"03.01.2017 17:30";"6.8";"583.3";"";"-0.3";"77";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"12.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.0";"";"";"";"";"";"";
"03.01.2017 14:30";"11.0";"583.6";"";"-1.6";"32";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-5.3";"";"";"";"";"";"";
"03.01.2017 11:30";"11.4";"585.2";"";"0.5";"38";"Wind blowing from the south-west";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.6";"";"";"";"";"";"";
"03.01.2017 08:30";"6.0";"584.7";"";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"2.7";"";"";"";"";"";"";"4.0";"-0.9";"";"";"";"";"";"";
"02.01.2017 17:30";"5.4";"584.1";"";"0.3";"63";"variable wind direction";"1";"";"";"40%.";" ";"";"";"";"9.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.1";"";"";"";"";"";"";
"02.01.2017 14:30";"8.4";"583.8";"";"-1.2";"52";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-1.1";"";"";"";"";"";"";
"02.01.2017 11:30";"8.6";"585.0";"";"0.9";"58";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.7";"";"";"";"";"";"";
"02.01.2017 08:30";"4.2";"584.1";"";"";"70";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"0.3";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-0.9";"";"";"";"";"";"";
"01.01.2017 17:30";"5.0";"583.0";"";"-0.2";"81";"Wind blowing from the north-east";"1";"";"";"40%.";"Mist. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"9.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"1.9";"";"";"";"";"";"";
"01.01.2017 14:30";"6.0";"583.2";"";"-1.5";"71";"Wind blowing from the north-east";"2";"";"";"50%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.1";"";"";"";"";"";"";
"01.01.2017 11:30";"7.0";"584.7";"";"0.6";"65";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"100-200";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.8";"";"";"";"";"";"";
"01.01.2017 08:30";"5.0";"584.1";"";"";"72";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"3.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.4";"";"";"";"";"";"";
"31.12.2016 17:30";"6.4";"582.8";"";"-0.2";"53";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"12.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"100-200";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"-2.5";"";"";"";"";"";"";
