# Weather station Baripada, India, WMO_ID=42894,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42894&lang=en
#
"Local time in Baripada";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.06.2017 08:30";"34.0";"748.1";"752.6";"";"71";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.6";"";"";"";"600-1000";"";"";"4.0";"28.0";"";"";"";"";"";"";
"22.06.2017 17:30";"28.4";"746.2";"750.8";"";"97";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"35.5";"";"";"600-1000";"";"";"4.0";"27.9";"";"";"";"";"";"";
"22.06.2017 08:30";"32.4";"748.5";"753.0";"";"67";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"21.06.2017 17:30";"31.2";"746.6";"751.1";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"32.2";"";"";"600-1000";"";"";"4.0";"27.9";"";"";"";"";"";"";
"21.06.2017 08:30";"29.2";"748.5";"753.1";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.5";"";"";"";"600-1000";"";"";"4.0";"25.8";"";"";"";"";"";"";
"20.06.2017 17:30";"26.6";"746.5";"751.1";"";"89";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"27.0";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"20.06.2017 08:30";"27.0";"749.2";"753.8";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.6";"";"";"";"600-1000";"";"";"4.0";"26.2";"";"";"";"";"";"";
"19.06.2017 17:30";"32.0";"744.3";"748.8";"";"79";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"27.9";"";"";"";"";"";"";
"19.06.2017 08:30";"31.2";"747.3";"751.8";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"28.2";"";"";"";"";"";"";
"18.06.2017 17:30";"27.0";"746.5";"751.1";"";"95";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"37.6";"";"";"600-1000";"";"";"4.0";"26.2";"";"";"";"";"";"";
"18.06.2017 08:30";"32.4";"748.5";"753.0";"";"77";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"27.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.8";"";"";"";"";"";"";
"17.06.2017 08:30";"30.4";"749.8";"754.4";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.6";"";"";"";"600-1000";"";"";"4.0";"26.8";"";"";"";"";"";"";
"16.06.2017 17:30";"30.6";"747.6";"752.2";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"16.06.2017 08:30";"29.4";"749.2";"753.8";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.2";"";"";"";"600-1000";"";"";"4.0";"26.0";"";"";"";"";"";"";
"15.06.2017 08:30";"30.2";"749.4";"754.0";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.6";"";"";"";"600-1000";"";"";"4.0";"26.6";"";"";"";"";"";"";
"14.06.2017 08:30";"31.4";"749.4";"754.0";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"27.6";"";"";"";"600-1000";"";"";"4.0";"27.6";"";"";"";"";"";"";
"13.06.2017 17:30";"29.0";"746.5";"751.1";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"24.7";"";"";"";"";"";"";
"13.06.2017 08:30";"30.0";"748.1";"752.7";"";"85";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"24.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.2";"";"";"";"";"";"";
"12.06.2017 08:30";"31.2";"746.5";"751.0";"";"73";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"28.0";"";"";"";"600-1000";"";"";"4.0";"25.9";"";"";"";"";"";"";
"11.06.2017 08:30";"32.0";"746.8";"751.3";"";"76";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"27.0";"";"";"";"600-1000";"";"";"4.0";"27.3";"";"";"";"";"";"";
"10.06.2017 17:30";"28.0";"745.2";"749.8";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"10.06.2017 08:30";"31.0";"748.4";"753.0";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"27.5";"";"";"";"600-1000";"";"";"4.0";"27.4";"";"";"";"";"";"";
"09.06.2017 17:30";"30.4";"746.6";"751.2";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"36.0";"";"";"600-1000";"";"";"4.0";"27.4";"";"";"";"";"";"";
"09.06.2017 08:30";"33.0";"749.2";"753.7";"";"69";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"27.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.6";"";"";"";"";"";"";
"08.06.2017 17:30";"34.2";"747.2";"751.7";"";"62";"Wind blowing from the south-southeast";"1";"";"";"50%.";" ";"";"";"";"36.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"08.06.2017 08:30";"30.2";"749.6";"754.2";"";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"27.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.6";"";"";"";"";"";"";
"07.06.2017 17:30";"33.6";"748.2";"752.7";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"07.06.2017 08:30";"31.4";"751.5";"756.1";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.2";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"06.06.2017 17:30";"35.0";"748.2";"752.7";"";"59";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"36.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"06.06.2017 08:30";"30.6";"750.0";"754.6";"";"81";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"05.06.2017 17:30";"35.4";"746.0";"750.5";"";"46";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.0";"";"";"";"";"";"";
"05.06.2017 08:30";"32.8";"747.9";"752.4";"";"75";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"29.8";"";"";"";"";"";"";"4.0";"27.9";"";"";"";"";"";"";
"04.06.2017 17:30";"40.2";"743.9";"748.3";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"41.5";"";"";"";"";"";"4.0";"28.1";"";"";"";"";"";"";
"04.06.2017 08:30";"33.0";"748.8";"753.3";"";"73";"Wind blowing from the south-southwest";"1";"";"";"50%.";" ";"";"";"28.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.5";"";"";"";"";"";"";
"03.06.2017 17:30";"36.6";"745.7";"750.2";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"4.0";"27.0";"";"";"";"";"";"";
"03.06.2017 08:30";"31.4";"750.3";"754.9";"";"70";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"27.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.2";"";"";"";"";"";"";
"02.06.2017 17:30";"34.4";"747.7";"752.2";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"36.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.9";"";"";"";"";"";"";
"01.06.2017 17:30";"27.0";"747.3";"751.9";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"36.2";"";"";"600-1000";"";"";"4.0";"23.8";"";"";"";"";"";"";
"01.06.2017 08:30";"31.4";"749.1";"753.7";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"28.4";"";"";"";"";"";"";
"31.05.2017 17:30";"27.2";"748.0";"752.6";"";"83";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"36.2";"";"";"600-1000";"";"";"4.0";"24.0";"";"";"";"";"";"";
"31.05.2017 08:30";"31.0";"748.5";"753.1";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.0";"";"";"";"";"";"";
"30.05.2017 17:30";"35.4";"744.1";"748.6";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"26.3";"";"";"";"";"";"";
"30.05.2017 08:30";"31.2";"746.2";"750.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"4.0";"25.3";"";"";"";"";"";"";
"29.05.2017 08:30";"31.0";"748.7";"753.3";"";"69";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.6";"";"";"";"";"";"";
"28.05.2017 17:30";"34.0";"748.0";"752.5";"";"56";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"35.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.0";"";"";"";"";"";"";
"28.05.2017 08:30";"33.2";"750.1";"754.6";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"26.6";"";"";"";"";"";"";
"27.05.2017 17:30";"31.4";"748.8";"753.3";"";"77";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"33.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.0";"";"";"";"";"";"";
"27.05.2017 08:30";"27.6";"751.2";"755.8";"";"89";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"";"";"600-1000";"";"";"4.0";"25.6";"";"";"";"";"";"";
"26.05.2017 08:30";"32.0";"750.4";"754.9";"";"79";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"";"27.9";"";"";"";"";"";"";
"25.05.2017 11:30";"31.0";"750.4";"755.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"";"26.8";"";"";"";"";"";"";
"25.05.2017 08:30";"31.0";"750.4";"755.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"24.05.2017 17:30";"28.6";"748.2";"752.8";"";"82";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"36.8";"";"";"600-1000";"";"";"4.0";"25.2";"";"";"";"";"";"";
"24.05.2017 08:30";"32.0";"751.2";"755.8";"";"79";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"27.9";"";"";"";"";"";"";
"23.05.2017 17:30";"33.4";"748.0";"752.5";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.6";"";"";"";"";"";"4.0";"30.2";"";"";"";"";"";"";
"23.05.2017 08:30";"31.4";"751.5";"756.1";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.4";"";"";"";"";"";"";"4.0";"28.1";"";"";"";"";"";"";
"22.05.2017 17:30";"34.6";"747.7";"752.2";"";"53";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"38.2";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"22.05.2017 08:30";"32.4";"750.7";"755.2";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.4";"";"";"";"";"";"";"4.0";"27.8";"";"";"";"";"";"";
"21.05.2017 08:30";"29.4";"750.0";"754.6";"";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"22.6";"";"";"";"600-1000";"";"";"4.0";"25.1";"";"";"";"";"";"";
"20.05.2017 17:30";"35.0";"746.5";"751.0";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"37.6";"";"";"600-1000";"";"";"4.0";"29.7";"";"";"";"";"";"";
"20.05.2017 08:30";"31.8";"751.0";"755.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"4.0";"27.1";"";"";"";"";"";"";
"19.05.2017 17:30";"36.0";"748.0";"752.5";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.5";"";"";"";"";"";"4.0";"28.7";"";"";"";"";"";"";
"19.05.2017 08:30";"29.0";"751.2";"755.8";"";"85";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"25.0";"";"";"";"600-1000";"";"";"4.0";"26.2";"";"";"";"";"";"";
"18.05.2017 17:30";"25.6";"750.6";"755.2";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"36.4";"";"";"600-1000";"";"";"4.0";"23.3";"";"";"";"";"";"";
"18.05.2017 08:30";"32.0";"750.7";"755.3";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"28.4";"";"";"";"600-1000";"";"";"4.0";"28.8";"";"";"";"";"";"";
"17.05.2017 17:30";"33.4";"746.7";"751.2";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"36.4";"";"";"600-1000";"";"";"4.0";"29.4";"";"";"";"";"";"";
"17.05.2017 08:30";"32.2";"749.5";"754.0";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"28.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.7";"";"";"";"";"";"";
"16.05.2017 08:30";"31.0";"749.1";"753.7";"";"78";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"25.4";"";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"15.05.2017 17:30";"26.2";"747.4";"752.0";"";"83";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"";"37.5";"";"";"600-1000";"";"";"4.0";"23.0";"";"";"";"";"";"";
"15.05.2017 08:30";"31.0";"749.1";"753.7";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.6";"";"";"";"";"";"";"4.0";"27.2";"";"";"";"";"";"";
"14.05.2017 08:30";"30.0";"750.8";"755.4";"";"74";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"22.4";"";"";"";"600-1000";"";"";"4.0";"24.9";"";"";"";"";"";"";
"13.05.2017 17:30";"34.2";"757.3";"761.9";"";"54";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Haze. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"";"";"600-1000";"";"";"4.0";"23.6";"";"";"";"";"";"";
"13.05.2017 08:30";"32.6";"752.6";"757.2";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"27.1";"";"";"";"";"";"";
"12.05.2017 17:30";"32.4";"750.8";"755.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.4";"";"";"";"";"";"4.0";"27.8";"";"";"";"";"";"";
"12.05.2017 08:30";"30.0";"755.3";"759.9";"";"75";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"24.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.2";"";"";"";"";"";"";
"11.05.2017 17:30";"34.0";"751.0";"755.5";"";"71";"Wind blowing from the south-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.0";"";"";"";"";"";"";
"11.05.2017 08:30";"30.6";"754.5";"759.1";"";"76";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"26.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"10.05.2017 17:30";"32.6";"751.9";"756.5";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.5";"";"";"";"";"";"4.0";"26.2";"";"";"";"";"";"";
"10.05.2017 08:30";"28.6";"754.7";"759.3";"";"74";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"20.5";"";"";"";"600-1000";"";"";"4.0";"23.4";"";"";"";"";"";"";
"09.05.2017 08:30";"30.6";"753.0";"757.6";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.4";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"08.05.2017 17:30";"33.2";"750.8";"755.3";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"37.2";"";"";"600-1000";"";"";"4.0";"28.9";"";"";"";"";"";"";
"08.05.2017 08:30";"29.2";"754.5";"759.1";"";"80";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"06.05.2017 17:30";"34.2";"751.6";"756.1";"";"60";"Wind blowing from the east-northeast";"2";"";"";"100%.";" ";"";"";"";"39.0";"";"";"600-1000";"";"";"4.0";"25.5";"";"";"";"";"";"";
"06.05.2017 08:30";"30.6";"755.1";"759.7";"";"74";"Wind blowing from the south-southwest";"1";"";"";"20–30%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"05.05.2017 17:30";"28.4";"750.4";"755.0";"-3.4";"85";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"25.6";"";"";"";"";"";"";
"05.05.2017 14:30";"30.0";"753.8";"758.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.6";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"05.05.2017 08:30";"30.0";"753.8";"758.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.6";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"04.05.2017 17:30";"33.6";"751.6";"756.1";"";"73";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"";"39.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.2";"";"";"";"";"";"";
"04.05.2017 08:30";"30.0";"754.5";"759.1";"";"67";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
"03.05.2017 17:30";"29.0";"752.6";"757.2";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"20.9";"";"";"";"";"";"";
"03.05.2017 08:30";"28.2";"755.4";"760.0";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.8";"";"";"";"";"";"";"4.0";"25.4";"";"";"";"";"";"";
"02.05.2017 17:30";"32.0";"753.0";"757.6";"";"70";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"25.8";"";"";"";"";"";"";
"02.05.2017 08:30";"27.2";"756.7";"761.4";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"23.2";"";"";"";"600-1000";"";"";"4.0";"23.4";"";"";"";"";"";"";
"01.05.2017 17:30";"26.0";"753.3";"758.0";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"36.5";"";"";"600-1000";"";"";"4.0";"23.1";"";"";"";"";"";"";
"01.05.2017 08:30";"30.0";"755.0";"759.6";"";"74";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"25.5";"";"";"";"600-1000";"";"";"4.0";"24.9";"";"";"";"";"";"";
"30.04.2017 17:30";"34.2";"750.1";"754.6";"";"66";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"38.4";"";"";"";"";"";"4.0";"27.1";"";"";"";"";"";"";
"30.04.2017 08:30";"30.4";"753.3";"757.9";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.6";"";"";"";"";"";"";
"29.04.2017 17:30";"29.6";"752.1";"756.7";"";"58";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"20.6";"";"";"";"";"";"";
"29.04.2017 08:30";"30.0";"754.1";"758.7";"";"75";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"25.2";"";"";"";"";"";"";
"28.04.2017 17:30";"35.6";"750.4";"754.9";"";"59";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"";"41.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"28.04.2017 08:30";"31.0";"753.7";"758.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.2";"";"";"";"";"";"";"4.0";"26.8";"";"";"";"";"";"";
"27.04.2017 08:30";"30.6";"745.8";"750.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.8";"";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"26.04.2017 17:30";"38.0";"749.6";"754.1";"";"41";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"";"42.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.5";"";"";"";"";"";"";
"26.04.2017 08:30";"34.6";"752.3";"756.8";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"25.04.2017 17:30";"39.4";"747.3";"751.7";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"42.4";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"25.04.2017 08:30";"32.0";"751.2";"755.8";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.4";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"24.04.2017 17:30";"35.2";"748.0";"752.5";"";"68";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"38.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"28.4";"";"";"";"";"";"";
"24.04.2017 08:30";"29.4";"752.0";"756.6";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"23.04.2017 17:30";"30.0";"748.9";"753.5";"";"59";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.0";"";"";"";"";"";"";
"23.04.2017 08:30";"29.0";"752.4";"757.0";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"4.0";"25.9";"";"";"";"";"";"";
"22.04.2017 17:30";"36.4";"746.9";"751.4";"";"61";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"39.0";"";"";"600-1000";"";"";"4.0";"27.7";"";"";"";"";"";"";
"22.04.2017 08:30";"31.0";"750.9";"755.5";"";"78";"Wind blowing from the south-southeast";"1";"";"";"50%.";" ";"";"";"26.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"21.04.2017 08:30";"30.4";"751.1";"755.7";"";"76";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"27.4";"";"";"";"";"";"";"4.0";"25.6";"";"";"";"";"";"";
"20.04.2017 08:30";"28.6";"752.6";"757.2";"";"83";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"21.6";"";"";"";"600-1000";"";"";"4.0";"25.5";"";"";"";"";"";"";
"19.04.2017 08:30";"31.2";"752.2";"756.8";"";"77";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"18.04.2017 17:30";"32.0";"750.1";"754.6";"";"72";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"18.04.2017 08:30";"30.6";"753.0";"757.6";"";"72";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"26.6";"";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"17.04.2017 08:30";"29.0";"753.8";"758.4";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"16.04.2017 17:30";"31.0";"750.0";"754.6";"";"66";"Wind blowing from the south-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"600-1000";"";"";"4.0";"23.8";"";"";"";"";"";"";
"16.04.2017 08:30";"30.0";"751.9";"756.5";"";"66";"Wind blowing from the south-southeast";"2";"";"";"50%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.0";"";"";"";"";"";"";
"15.04.2017 17:30";"33.0";"748.3";"752.8";"";"53";"Wind blowing from the south-southeast";"2";"";"";"no clouds";" ";"";"";"";"38.4";"";"";"";"";"";"4.0";"22.2";"";"";"";"";"";"";
"15.04.2017 08:30";"29.4";"752.7";"757.3";"";"58";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"14.04.2017 08:30";"29.2";"754.5";"759.1";"";"70";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"4.0";"23.1";"";"";"";"";"";"";
"13.04.2017 17:30";"32.2";"751.1";"755.7";"";"68";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"4.0";"25.5";"";"";"";"";"";"";
"13.04.2017 08:30";"28.2";"754.9";"759.5";"";"78";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"24.4";"";"";"";"";"";"";"4.0";"23.9";"";"";"";"";"";"";
"12.04.2017 17:30";"32.4";"751.3";"755.8";"";"68";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"4.0";"25.7";"";"";"";"";"";"";
"12.04.2017 08:30";"28.4";"754.5";"759.1";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.8";"";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"11.04.2017 17:30";"35.4";"750.4";"754.9";"";"37";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
